id,name,lowercase_name
4482,Josiane Balasko,josiane balasko
10634,F. Gary Gray,f. gary gray
755,Robert Rodriguez,robert rodriguez
11859,Andrew Sipes,andrew sipes
28387,Noah Baumbach,noah baumbach
48750,Claude Lelouch,claude lelouch
20927,Michael Goldenberg,michael goldenberg
36929,Steve Miner,steve miner
9102,Christian Duguay,christian duguay
124626,Susanne Ofteringer,susanne ofteringer
27526,Sean Penn,sean penn
9623,Brian Gibson,brian gibson
46785,Jafar Panahi,jafar panahi
400,Gary Fleder,gary fleder
880,Marleen Gorris,marleen gorris
146599,Tim Reid,tim reid
188588,Henry Jaglom,henry jaglom
8447,Philip Haas,philip haas
10534,Ridley Scott,ridley scott
17414,Ken Kwapis,ken kwapis
13997,Penelope Spheeris,penelope spheeris
2086,John Badham,john badham
61548,John Duigan,john duigan
9095,Stephen Frears,stephen frears
12158,Wes Craven,wes craven
9283,Ted Demme,ted demme
9208,John Woo,john woo
40154,Kenneth Branagh,kenneth branagh
406,Mathieu Kassovitz,mathieu kassovitz
45549,Paul W.S. Anderson,paul w.s. anderson
63076,Nick Broomfield,nick broomfield
11062,Harold Becker,harold becker
13685,Wes Anderson,wes anderson
47475,Nick Castle,nick castle
2045,John Dahl,john dahl
9614,Dennis Dugan,dennis dugan
688,Clint Eastwood,clint eastwood
11907,Doris Dörrie,doris dörrie
10874,Brian Henson,brian henson
89333,Robert Leacock,robert leacock
96357,James Bruce,james bruce
197,Mel Gibson,mel gibson
103,Martin Scorsese,martin scorsese
33542,Stanley Tong,stanley tong
43566,Barbet Schroeder,barbet schroeder
71754,Mort Ransen,mort ransen
43612,Étienne Chatiliez,étienne chatiliez
51352,Jon Blair,jon blair
16934,Benjamin Ross,benjamin ross
10324,Eric Schaeffer,eric schaeffer
78406,Andrew Davis,andrew davis
55731,Charles T. Kanganis,charles t. kanganis
32119,John N. Smith,john n. smith
11066,Reginald Hudlin,reginald hudlin
11104,Wong Kar-wai,wong kar-wai
37975,Giuseppe Tornatore,giuseppe tornatore
2074,David O. Russell,david o. russell
27793,Peter MacDonald,peter macdonald
44284,Moufida Tlatli,moufida tlatli
290157,Michel Negroponte,michel negroponte
110972,Bryan Gordon,bryan gordon
32622,Rebecca Miller,rebecca miller
73067,Michael Lindsay-Hogg,michael lindsay-hogg
11863,William Friedkin,william friedkin
55475,Ángel Muñiz,ángel muñiz
124636,Craig Baldwin,craig baldwin
9101,David S. Ward,david s. ward
123360,Mark Rappaport,mark rappaport
5757,Dirk Shafer,dirk shafer
39428,Terence Davies,terence davies
124639,Sandip Ray,sandip ray
9302,Jon Avnet,jon avnet
11000,Mike Nichols,mike nichols
249882,Jakov Sedlar,jakov sedlar
16388,Edward Burns,edward burns
9737,Michael Bay,michael bay
30765,Christopher Cain,christopher cain
10474,Scott Kalvert,scott kalvert
22279,Mike Newell,mike newell
30157,Hal Hartley,hal hartley
568,Ron Howard,ron howard
11780,Michael Caton-Jones,michael caton-jones
34996,Abel Ferrara,abel ferrara
414,Joel Schumacher,joel schumacher
649,Luis Buñuel,luis buñuel
1873,John Boorman,john boorman
5894,Paul Auster,paul auster
5894,Wayne Wang,wayne wang
1775,Michael Moore,michael moore
8839,Brad Silberling,brad silberling
20649,Spike Lee,spike lee
10329,Frank Marshall,frank marshall
8963,Tony Scott,tony scott
26564,Terry Zwigoff,terry zwigoff
8068,Robert Rodriguez,robert rodriguez
8512,Carl Franklin,carl franklin
1572,John McTiernan,john mctiernan
13552,Gregg Araki,gregg araki
259209,Christopher Menaul,christopher menaul
6520,Jerry Zucker,jerry zucker
9073,Dwight H. Little,dwight h. little
10428,Iain Softley,iain softley
17447,Christopher Ashley,christopher ashley
9886,Robert Longo,robert longo
9482,Danny Cannon,danny cannon
19326,John Fortenberry,john fortenberry
9344,Larry Clark,larry clark
9071,Tom DiCillo,tom dicillo
8973,Clive Barker,clive barker
15730,Denys Arcand,denys arcand
47608,Antonia Bird,antonia bird
2293,Kevin Smith,kevin smith
9070,Bryan Spicer,bryan spicer
68274,David Anspaugh,david anspaugh
48787,Anthony Waller,anthony waller
34574,Michael Almereyda,michael almereyda
1642,Irwin Winkler,irwin winkler
11472,Chris Columbus,chris columbus
36196,Daisy von Scherler Mayer,daisy von scherler mayer
11980,Gregory Widen,gregory widen
58372,Norman René,norman rené
32646,Todd Haynes,todd haynes
10533,Roland Joffé,roland joffé
10802,Paul Verhoeven,paul verhoeven
10149,Wayne Wang,wayne wang
10149,Paul Auster,paul auster
18402,Lasse Hallström,lasse hallström
9348,Roger Donaldson,roger donaldson
139408,James Keach,james keach
281,Kathryn Bigelow,kathryn bigelow
5967,Jacques Demy,jacques demy
79593,Wesley Strick,wesley strick
47939,Martha Coolidge,martha coolidge
36834,Agnieszka Holland,agnieszka holland
9090,Beeban Kidron,beeban kidron
3512,Geoff Murphy,geoff murphy
52856,Diane Keaton,diane keaton
77350,Douglas Keeve,douglas keeve
9560,Alfonso Aráu,alfonso aráu
9804,Kevin Reynolds,kevin reynolds
31611,Desmond Nakano,desmond nakano
65796,Walter Hill,walter hill
49805,Mike Figgis,mike figgis
26258,Greg Beeman,greg beeman
50797,Nikita Mikhalkov,nikita mikhalkov
19155,Milčo Mančevski,milčo mančevski
76,Richard Linklater,richard linklater
11017,Tamra Davis,tamra davis
37141,Guy Ferland,guy ferland
9382,Herbert Ross,herbert ross
6715,Peter Horton,peter horton
18256,Stuart Gordon,stuart gordon
22625,Pat O'Connor,pat o'connor
2292,Kevin Smith,kevin smith
1909,Jeremy Leven,jeremy leven
8984,Barry Levinson,barry levinson
61813,René Bonnière,rené bonnière
4954,John Badham,john badham
62488,Jack Baran,jack baran
10531,Roman Polanski,roman polanski
11929,Taylor Hackford,taylor hackford
8467,Peter Farrelly,peter farrelly
8467,Bobby Farrelly,bobby farrelly
10451,Ang Lee,ang lee
20156,Atom Egoyan,atom egoyan
18395,Garry Marshall,garry marshall
522,Tim Burton,tim burton
397,Lawrence Kasdan,lawrence kasdan
10525,Billy Crystal,billy crystal
27985,Phillip Borsos,phillip borsos
15789,Kevin Lima,kevin lima
15789,Paul Brizzi,paul brizzi
27303,Brett Leonard,brett leonard
21183,Carlo Carlei,carlo carlei
10954,Gérard Corbiau,gérard corbiau
47867,Mark Lewis,mark lewis
43475,Art Clokey,art clokey
72031,Charles Burnett,charles burnett
14275,Steve James,steve james
1024,Peter Jackson,peter jackson
17207,Randall Miller,randall miller
13701,Bernard Rose,bernard rose
14819,Steven Brill,steven brill
32631,J. F. Lawton,j. f. lawton
11777,Fred Schepisi,fred schepisi
628,Neil Jordan,neil jordan
87729,James Ivory,james ivory
18713,James Melkonian,james melkonian
6280,Ivan Reitman,ivan reitman
9061,Arne Glimcher,arne glimcher
37108,Michael Gottlieb,michael gottlieb
6071,Barbet Schroeder,barbet schroeder
11,George Lucas,george lucas
9587,Gillian Armstrong,gillian armstrong
19101,Alfonso Cuarón,alfonso cuarón
49980,Ken Loach,ken loach
17961,Claude Chabrol,claude chabrol
18183,Alfonso Aráu,alfonso aráu
4476,Edward Zwick,edward zwick
11008,Nick Castle,nick castle
47504,James Gray,james gray
32325,Allison Anders,allison anders
43742,Glenn Gordon Caron,glenn gordon caron
28313,Stephen Gyllenhaal,stephen gyllenhaal
11318,Nicholas Hytner,nicholas hytner
3036,Kenneth Branagh,kenneth branagh
40490,James Orr,james orr
24070,Nora Ephron,nora ephron
8986,Richard Benjamin,richard benjamin
10510,Les Mayfield,les mayfield
17402,David Frankel,david frankel
38722,Gregory Nava,gregory nava
8438,Marc Rocco,marc rocco
11593,Robert Benton,robert benton
1945,Michael Apted,michael apted
39310,Nick Gomez,nick gomez
109560,Tōru Murakawa,tōru murakawa
56428,Vadim Jean,vadim jean
63105,Albert Pyun,albert pyun
131957,Alan Jacobs,alan jacobs
241,Oliver Stone,oliver stone
9058,Norman Jewison,norman jewison
527,Lee Tamahori,lee tamahori
18220,Anne Goursaud,anne goursaud
6950,Wolfgang Petersen,wolfgang petersen
101,Luc Besson,luc besson
63020,Mira Nair,mira nair
2307,Joshua Brand,joshua brand
680,Quentin Tarantino,quentin tarantino
41478,Mario Van Peebles,mario van peebles
25296,Ang Lee,ang lee
40156,Antonia Bird,antonia bird
11450,Robert Redford,robert redford
30304,Kayo Hatta,kayo hatta
10452,Patrice Chéreau,patrice chéreau
12106,Sam Raimi,sam raimi
161495,Peter Yates,peter yates
3586,Robert Altman,robert altman
110,Krzysztof Kieślowski,krzysztof kieślowski
108,Krzysztof Kieślowski,krzysztof kieślowski
109,Krzysztof Kieślowski,krzysztof kieślowski
159185,He Ping,he ping
36357,Fred Gerber,fred gerber
92769,George Mihalka,george mihalka
28033,Harold Ramis,harold ramis
22586,Richard Rich,richard rich
14334,John Sayles,john sayles
2636,Luis Llosa,luis llosa
2164,Roland Emmerich,roland emmerich
11395,John Pasquin,john pasquin
278,Frank Darabont,frank darabont
9905,Danny Boyle,danny boyle
87078,Scott McGehee,scott mcgehee
87078,David Siegel,david siegel
12527,Tomás Gutiérrez Alea,tomás gutiérrez alea
12527,Juan Carlos Tabío,juan carlos tabío
20306,George Huang,george huang
36614,Kevin Dowling,kevin dowling
36614,Geoff Burton,geoff burton
27993,Kelly Makin,kelly makin
31439,Zhang Yimou,zhang yimou
9067,Rachel Talalay,rachel talalay
9059,Ernest R. Dickerson,ernest r. dickerson
193,David Carson,david carson
25066,Rusty Cundieff,rusty cundieff
46797,Brian Gilbert,brian gilbert
12122,John Carpenter,john carpenter
11381,Peter Segal,peter segal
32636,Louis Malle,louis malle
36141,Steven Soderbergh,steven soderbergh
95963,Preston A. Whitmore II,preston a. whitmore ii
1587,Lasse Hallström,lasse hallström
9271,Brett Leonard,brett leonard
2064,Jon Turteltaub,jon turteltaub
19855,Jon Avnet,jon avnet
60855,Mina Shum,mina shum
236,P.J. Hogan,p.j. hogan
48287,Melanie Mayron,melanie mayron
3049,Tom Shadyac,tom shadyac
2759,Stephan Elliott,stephan elliott
12635,Iain Softley,iain softley
10497,Roman Polanski,roman polanski
11382,Woody Allen,woody allen
9331,Phillip Noyce,phillip noyce
10731,Joel Schumacher,joel schumacher
10464,Jessie Nelson,jessie nelson
34152,Spike Lee,spike lee
9495,Alex Proyas,alex proyas
29973,Ron Shelton,ron shelton
888,Brian Levant,brian levant
13,Robert Zemeckis,robert zemeckis
712,Mike Newell,mike newell
16295,John Singleton,john singleton
48992,Darnell Martin,darnell martin
10879,Charles Shyer,charles shyer
10660,Andrew Bergman,andrew bergman
10714,Stephen Sommers,stephen sommers
41647,Ray Müller,ray müller
8587,Roger Allers,roger allers
8587,Rob Minkoff,rob minkoff
1689,Bernardo Bertolucci,bernardo bertolucci
11596,Wes Craven,wes craven
854,Chuck Russell,chuck russell
9359,Richard Donner,richard donner
23333,Alan Rudolph,alan rudolph
36593,Peter Segal,peter segal
12280,Ron Howard,ron howard
2788,Ben Stiller,ben stiller
10427,John Dahl,john dahl
11011,Donald Petrie,donald petrie
49803,Robert Allan Ackerman,robert allan ackerman
8987,Curtis Hanson,curtis hanson
1637,Jan de Bont,jan de bont
15128,Ron Underwood,ron underwood
8831,Peter Hyams,peter hyams
36955,James Cameron,james cameron
10449,Luis Mandoki,luis mandoki
10395,Mike Nichols,mike nichols
12160,Lawrence Kasdan,lawrence kasdan
40480,Damian Harris,damian harris
52038,Suri Krishnamma,suri krishnamma
29444,Jefery Levy,jefery levy
26352,Keenen Ivory Wayans,keenen ivory wayans
39953,Robert Lee King,robert lee king
39953,Brian Sloan,brian sloan
39953,Raoul O'Connell,raoul o'connell
41580,Yves Angelo,yves angelo
315,Russ Meyer,russ meyer
22067,Doug McHenry,doug mchenry
18242,Dave Borthwick,dave borthwick
11667,Steven E. de Souza,steven e. de souza
32502,Wallace Wolodarsky,wallace wolodarsky
267188,Michael A. Nickles,michael a. nickles
28732,Paul Warner,paul warner
75555,Vincent Robert,vincent robert
42981,Theodore Thomas,theodore thomas
278939,Lucas Platt,lucas platt
291731,Ross Kagan Marks,ross kagan marks
226229,Paul Williams,paul williams
203119,Robert Wuhl,robert wuhl
172923,Roberto Sneider,roberto sneider
316098,Jack Baxter,jack baxter
316098,Jefri Aalmuhammed,jefri aalmuhammed
8011,Andrew Morahan,andrew morahan
171857,Michael Corrente,michael corrente
2654,John Carpenter,john carpenter
18069,John G. Avildsen,john g. avildsen
19092,Jeff Pollack,jeff pollack
2758,Barry Sonnenfeld,barry sonnenfeld
38129,Thomas Schlamme,thomas schlamme
10436,Martin Scorsese,martin scorsese
13595,Michael Lehmann,michael lehmann
46094,Paul Michael Glaser,paul michael glaser
9409,John Badham,john badham
11853,Jonathan Kaplan,jonathan kaplan
16771,Whit Stillman,whit stillman
46924,Bill Forsyth,bill forsyth
11041,Penelope Spheeris,penelope spheeris
306,John Landis,john landis
14522,Caroline Thompson,caroline thompson
26203,Michael Apted,michael apted
178,Stephen Hopkins,stephen hopkins
19819,William Friedkin,william friedkin
57834,Tony Richardson,tony richardson
4722,Abel Ferrara,abel ferrara
18215,Jennifer Chambers Lynch,jennifer chambers lynch
1607,Robert De Niro,robert de niro
26391,Adam Resnick,adam resnick
117553,John Whitesell,john whitesell
6075,Brian De Palma,brian de palma
11310,Paul Weiland,paul weiland
18658,Mick Jackson,mick jackson
9350,Renny Harlin,renny harlin
9612,Steve Barron,steve barron
2124,Richard Rush,richard rush
26261,Michael Ritchie,michael ritchie
19176,Gregg Champion,gregg champion
49299,Abel Ferrara,abel ferrara
11566,Ivan Reitman,ivan reitman
9571,Richard Linklater,richard linklater
9739,Marco Brambilla,marco brambilla
24257,Bruce Brown,bruce brown
34444,Gus Van Sant,gus van sant
26141,Carl Reiner,carl reiner
10997,Chen Kaige,chen kaige
50463,Donald Petrie,donald petrie
10443,Peter Weir,peter weir
20239,Rusty Cundieff,rusty cundieff
16297,Alek Keshishian,alek keshishian
18551,Steve Kloves,steve kloves
25440,John Irvin,john irvin
9024,Barry Sonnenfeld,barry sonnenfeld
37233,Sydney Pollack,sydney pollack
1634,Simon Wincer,simon wincer
13815,Boaz Yakin,boaz yakin
5503,Andrew Davis,andrew davis
35588,Walter Hill,walter hill
2087,Roger Donaldson,roger donaldson
41579,Howard Deutch,howard deutch
18620,Rose Troche,rose troche
41006,Bruce Beresford,bruce beresford
4916,Sidney Lumet,sidney lumet
2019,John Woo,john woo
31642,Oliver Stone,oliver stone
9255,Jim Abrahams,jim abrahams
26271,Julianna Lavin,julianna lavin
10612,Christopher Monger,christopher monger
2259,Bille August,bille august
16097,Eric Meza,eric meza
11934,Joel Coen,joel coen
106143,James L. Brooks,james l. brooks
12475,"Daniel Petrie, Jr.","daniel petrie, jr."
9386,Wolfgang Petersen,wolfgang petersen
7984,Jim Sheridan,jim sheridan
59930,Matty Rich,matty rich
15765,Brian Gibson,brian gibson
31643,Barry Levinson,barry levinson
6,Stephen Hopkins,stephen hopkins
329,Steven Spielberg,steven spielberg
10909,Dominic Sena,dominic sena
507,Roger Avary,roger avary
34024,Steven Soderbergh,steven soderbergh
29918,Daniel Petrie,daniel petrie
9593,John McTiernan,john mctiernan
42580,James Lapine,james lapine
22317,Simon Wincer,simon wincer
22317,Paul Hogan,paul hogan
22317,Greg Coote,greg coote
1413,David Cronenberg,david cronenberg
12121,Richard Benjamin,richard benjamin
2246,Harold Becker,harold becker
10502,Mel Gibson,mel gibson
10440,Woody Allen,woody allen
9516,Albert Hughes,albert hughes
9516,Allen Hughes,allen hughes
2320,Stuart Baird,stuart baird
5879,Nagisa Ōshima,nagisa ōshima
83718,Tom Noonan,tom noonan
11971,Kenneth Branagh,kenneth branagh
2625,Mike Figgis,mike figgis
31911,Anthony Minghella,anthony minghella
788,Chris Columbus,chris columbus
21450,Mike Leigh,mike leigh
11231,Christopher Cain,christopher cain
41588,Michael Tolkin,michael tolkin
10447,Martin Campbell,martin campbell
31586,Rob Reiner,rob reiner
9300,Sally Potter,sally potter
9559,Clint Eastwood,clint eastwood
9800,Jonathan Demme,jonathan demme
713,Jane Campion,jane campion
8291,John Singleton,john singleton
18133,David S. Ward,david s. ward
25557,Stuart Orme,stuart orme
22588,Mel Smith,mel smith
10872,Ted Demme,ted demme
1245,James Ivory,james ivory
11858,Penny Marshall,penny marshall
7007,Philip Kaufman,philip kaufman
10467,Alan Parker,alan parker
5550,Fred Dekker,fred dekker
8005,Mel Brooks,mel brooks
2088,Peter Medak,peter medak
10412,Geoffrey Wright,geoffrey wright
47889,Victor Nunez,victor nunez
14534,David Anspaugh,david anspaugh
56583,Tim Hunter,tim hunter
41878,Cyril Collard,cyril collard
424,Steven Spielberg,steven spielberg
35233,Michael Ritchie,michael ritchie
14291,Steven Zaillian,steven zaillian
103413,Chris Menges,chris menges
11236,Agnieszka Holland,agnieszka holland
11592,John Waters,john waters
8850,Russell Mulcahy,russell mulcahy
10445,Richard Attenborough,richard attenborough
695,Robert Altman,robert altman
43535,Gillies MacKinnon,gillies mackinnon
12519,John Duigan,john duigan
23210,Fred Schepisi,fred schepisi
858,Nora Ephron,nora ephron
867,Phillip Noyce,phillip noyce
78,Ridley Scott,ridley scott
13203,Steve Rash,steve rash
10442,Thomas Schlamme,thomas schlamme
11074,Rowdy Herrington,rowdy herrington
33367,Arthur Joffé,arthur joffé
9607,Annabel Jankel,annabel jankel
9607,Rocky Morton,rocky morton
17585,Ernest R. Dickerson,ernest r. dickerson
9057,Deran Sarafian,deran sarafian
20967,François Girard,françois girard
10635,Andrew Fleming,andrew fleming
9479,Henry Selick,henry selick
10057,Stephen Herek,stephen herek
11969,George P. Cosmatos,george p. cosmatos
41590,Heywood Gould,heywood gould
319,Tony Scott,tony scott
26408,D.A. Pennebaker,d.a. pennebaker
26408,Chris Hegedus,chris hegedus
15139,Joe Johnston,joe johnston
15139,Pixote Hunt,pixote hunt
15139,Maurice Hunt,maurice hunt
161158,Jerry Ciccoritti,jerry ciccoritti
218473,Jennifer Warren,jennifer warren
85247,Mark Malone,mark malone
11446,Todd Solondz,todd solondz
51980,Claude Berri,claude berri
24405,Dennis Hopper,dennis hopper
11655,Guillermo del Toro,guillermo del toro
11800,Daniel Algrant,daniel algrant
8223,Pedro Almodóvar,pedro almodóvar
14587,Gurinder Chadha,gurinder chadha
31504,Andrew Scheinman,andrew scheinman
41653,Åke Sandgren,åke sandgren
53185,Richard Loncraine,richard loncraine
95743,Eva Sereny,eva sereny
23637,Lina Wertmüller,lina wertmüller
17600,David O. Russell,david o. russell
10897,Penelope Spheeris,penelope spheeris
349394,Rémy Duchemin,rémy duchemin
21352,George T. Miller,george t. miller
68806,Ricky Tognazzi,ricky tognazzi
37345,Michael Austin,michael austin
32562,Rob Epstein,rob epstein
32562,Jeffrey Friedman,jeffrey friedman
47507,Mathieu Kassovitz,mathieu kassovitz
25403,Nanni Moretti,nanni moretti
124304,María Luisa Bemberg,maría luisa bemberg
9066,Betty Thomas,betty thomas
771,Chris Columbus,chris columbus
251,Jerry Zucker,jerry zucker
812,Ron Clements,ron clements
812,John Musker,john musker
280,James Cameron,james cameron
581,Kevin Costner,kevin costner
80350,Steve Cohen,steve cohen
268,Tim Burton,tim burton
274,Jonathan Demme,jonathan demme
408,David Hand,david hand
10020,Gary Trousdale,gary trousdale
10020,Kirk Wise,kirk wise
10895,Hamilton Luske,hamilton luske
10895,Ben Sharpsteen,ben sharpsteen
114,Garry Marshall,garry marshall
41043,Yuri Mamin,yuri mamin
576,Sam Peckinpah,sam peckinpah
15477,C.M. Talkington,c.m. talkington
59146,Huang Jianxin,huang jianxin
124472,Jean Bach,jean bach
30528,Sam Weisman,sam weisman
7300,Michael Hoffman,michael hoffman
10824,Bill Condon,bill condon
261246,Stephen Poliakoff,stephen poliakoff
275,Joel Coen,joel coen
25059,David R. Ellis,david r. ellis
11827,Gerald Potterton,gerald potterton
8766,Kevin Yagher,kevin yagher
8766,Joe Chappelle,joe chappelle
23570,Matt Reeves,matt reeves
47333,Franco Zeffirelli,franco zeffirelli
54850,Anna Campion,anna campion
51242,Franco Brusati,franco brusati
10112,Wolfgang Reitherman,wolfgang reitherman
4307,Pedro Almodóvar,pedro almodóvar
46029,Fernando Trueba,fernando trueba
32308,Bill Couturié,bill couturié
88893,Werner Herzog,werner herzog
52873,André Téchiné,andré téchiné
340210,Mika Kaurismäki,mika kaurismäki
44281,Férid Boughedir,férid boughedir
28121,Martin Lawrence,martin lawrence
12520,Stacy Title,stacy title
1592,Gregory Hoblit,gregory hoblit
166901,Clément Virgo,clément virgo
36447,Bruno Barreto,bruno barreto
19042,Paul Sabella,paul sabella
19042,Larry Leker,larry leker
38884,Ken Loach,ken loach
47449,Hal Salwen,hal salwen
36259,Jonathan R. Betuel,jonathan r. betuel
41852,Richard Pearce,richard pearce
40926,Todd Verow,todd verow
9099,Jonathan Lynn,jonathan lynn
2021,Tim Sullivan,tim sullivan
61752,Spike Lee,spike lee
10988,Jeremiah S. Chechik,jeremiah s. chechik
11479,Hervé Palud,hervé palud
398959,Martin Enlen,martin enlen
287305,Carlo Rola,carlo rola
12652,Claude Sautet,claude sautet
10684,Edward Zwick,edward zwick
954,Brian De Palma,brian de palma
68445,Friðrik Þór Friðriksson,friðrik þór friðriksson
18989,Pen Densham,pen densham
10801,Sönke Wortmann,sönke wortmann
54285,Park Chul-soo,park chul-soo
8840,Rob Cohen,rob cohen
278978,Joseph Vilsmaier,joseph vilsmaier
124625,Michael Verhoeven,michael verhoeven
11107,Steve Rash,steve rash
16417,Gray Hofmeyr,gray hofmeyr
70934,Richard Wherrett,richard wherrett
10363,René Clément,rené clément
161070,Anthony Hopkins,anthony hopkins
10539,Henry Selick,henry selick
10543,James Foley,james foley
18414,Kelly Makin,kelly makin
47502,Paul Mazursky,paul mazursky
11902,Emir Kusturica,emir kusturica
27098,Bo Widerberg,bo widerberg
25087,Alan Mehrez,alan mehrez
5801,Satyajit Ray,satyajit ray
896,Satyajit Ray,satyajit ray
3065,Jim Mallon,jim mallon
2300,Joe Pytka,joe pytka
8069,Roger Vadim,roger vadim
288173,Catherine Cyran,catherine cyran
187851,Brett Piper,brett piper
27768,George Hickenlooper,george hickenlooper
221917,Peter Yates,peter yates
8072,Jean-Luc Godard,jean-luc godard
35797,Bertrand Tavernier,bertrand tavernier
88030,Mika Kaurismäki,mika kaurismäki
185191,Claude Chabrol,claude chabrol
83857,Gordon Willis,gordon willis
33245,Randal Kleiser,randal kleiser
124460,Michael Blakemore,michael blakemore
27281,Simon Wincer,simon wincer
105045,Margarethe von Trotta,margarethe von trotta
40001,Richard Benjamin,richard benjamin
29621,Norberto Barba,norberto barba
117730,Eli Cohen,eli cohen
20762,Robert Mandel,robert mandel
37144,Pat Verducci,pat verducci
48260,Michael Winterbottom,michael winterbottom
12656,Steven Baigelman,steven baigelman
38867,Zalman King,zalman king
277270,Barry Caillier,barry caillier
25969,Patrick Read Johnson,patrick read johnson
44103,Stijn Coninx,stijn coninx
753,John Cassavetes,john cassavetes
43634,Stacy Cochran,stacy cochran
9103,Jean-Claude Van Damme,jean-claude van damme
90214,Mark Joffe,mark joffe
29649,Steve Gomer,steve gomer
10990,Lee Tamahori,lee tamahori
8866,Michael Lehmann,michael lehmann
12233,George Scribner,george scribner
23449,Tom DeCerchio,tom decerchio
36355,Alan Shapiro,alan shapiro
37667,Angela Pope,angela pope
90148,Betty Kaplan,betty kaplan
922,Jim Jarmusch,jim jarmusch
11876,Jean-Paul Rappeneau,jean-paul rappeneau
52633,Jack Hill ,jack hill 
62364,Manuel Gómez Pereira,manuel gómez pereira
11687,Jean-Marie Poiré,jean-marie poiré
9304,Harold Ramis,harold ramis
73183,Brett Thompson,brett thompson
131232,Francesco Sframeli,francesco sframeli
131232,Spiro Scimone,spiro scimone
9100,Andrew Fleming,andrew fleming
20759,Reginald Hudlin,reginald hudlin
46063,Bruce Beresford,bruce beresford
32513,John Schlesinger,john schlesinger
40651,Stephen Quay,stephen quay
40651,Timothy Quay,timothy quay
36915,Phil Joanou,phil joanou
40507,Larry Cohen,larry cohen
9802,Michael Bay,michael bay
25697,Harvey Miller,harvey miller
21588,Michele Soavi,michele soavi
664,Jan de Bont,jan de bont
11867,David Hogan,david hogan
47119,Maurice Pialat,maurice pialat
314352,Gabriel Barylli,gabriel barylli
9323,Mamoru Oshii,mamoru oshii
10280,Tom Holland,tom holland
10535,Rick Friedberg,rick friedberg
124613,Udayan Prasad,udayan prasad
532,Nick Park,nick park
26744,Abraham Polonsky,abraham polonsky
16299,John Landis,john landis
10547,David Twohy,david twohy
245268,Robert Z. Leonard,robert z. leonard
935,Stanley Kubrick,stanley kubrick
55613,Guy Maddin,guy maddin
215107,John O'Brien,john o'brien
41007,John Irvin,john irvin
35645,Kevin James Dobson,kevin james dobson
110465,Victor Saville,victor saville
255546,Helena Solberg,helena solberg
40751,Wong Kar-wai,wong kar-wai
275096,Ebrahim Forouzesh,ebrahim forouzesh
85778,Freida Lee Mock,freida lee mock
11101,Joseph Vilsmaier,joseph vilsmaier
9826,Simon Wincer,simon wincer
9879,Andrew Bergman,andrew bergman
63564,David Keating,david keating
22621,James Mangold,james mangold
7095,Francis Ford Coppola,francis ford coppola
