title,popularity,vote_average,vote_count,release_date,release_year,month_name,day_name,revenue,budget,return
Four Rooms,9.026586,6.5,539.0,1995-12-09,1995,Diciembre,Sã¡bado,4300000.0,4000000.0,1.075
Ace Ventura: When Nature Calls,8.205448,6.1,1128.0,1995-11-10,1995,Noviembre,Viernes,212385533.0,30000000.0,7.079517766666667
Money Train,7.337906,5.4,224.0,1995-11-21,1995,Noviembre,Martes,35431113.0,60000000.0,0.59051855
Get Shorty,12.669608,6.4,305.0,1995-10-20,1995,Octubre,Viernes,115101622.0,30250000.0,3.805012297520661
Copycat,10.701801,6.5,199.0,1995-10-27,1995,Octubre,Viernes,0.0,0.0,0.0
Assassins,11.065939,6.0,394.0,1995-10-06,1995,Octubre,Viernes,30303072.0,50000000.0,0.60606144
Powder,12.133094,6.3,143.0,1995-10-27,1995,Octubre,Viernes,0.0,0.0,0.0
Leaving Las Vegas,10.332025,7.1,365.0,1995-10-27,1995,Octubre,Viernes,49800000.0,3600000.0,13.833333333333334
Othello,1.845899,7.0,33.0,1995-12-15,1995,Diciembre,Viernes,0.0,0.0,0.0
Now and Then,8.681325,6.6,91.0,1995-10-20,1995,Octubre,Viernes,27400000.0,12000000.0,2.283333333333333
Persuasion,2.228434,7.4,36.0,1995-09-27,1995,Septiembre,Miã©rcoles,0.0,0.0,0.0
The City of Lost Children,9.822423,7.6,308.0,1995-05-16,1995,Mayo,Martes,1738611.0,18000000.0,0.0965895
Shanghai Triad,1.100915,6.5,17.0,1995-04-30,1995,Abril,Domingo,0.0,0.0,0.0
Dangerous Minds,9.481338,6.4,249.0,1995-08-11,1995,Agosto,Viernes,180000000.0,0.0,0.0
Twelve Monkeys,12.297305,7.4,2470.0,1995-12-29,1995,Diciembre,Viernes,168840000.0,29500000.0,5.7233898305084745
Wings of Courage,0.745542,6.8,4.0,1996-09-18,1996,Septiembre,Miã©rcoles,0.0,0.0,0.0
Babe,14.404764,6.0,756.0,1995-07-18,1995,Julio,Martes,254134910.0,30000000.0,8.471163666666667
Carrington,1.493361,6.4,16.0,1995-11-08,1995,Noviembre,Miã©rcoles,0.0,0.0,0.0
Dead Man Walking,6.891317,7.3,350.0,1995-12-29,1995,Diciembre,Viernes,39363635.0,11000000.0,3.5785122727272727
Across the Sea of Time,0.114469,3.5,2.0,1995-10-20,1995,Octubre,Viernes,0.0,0.0,0.0
It Takes Two,7.777735,6.1,149.0,1995-11-17,1995,Noviembre,Viernes,0.0,0.0,0.0
Clueless,9.882383,6.9,828.0,1995-07-19,1995,Julio,Miã©rcoles,0.0,12000000.0,0.0
"Cry, the Beloved Country",0.894647,6.7,13.0,1995-12-15,1995,Diciembre,Viernes,676525.0,0.0,0.0
Richard III,4.561387,6.9,50.0,1995-12-29,1995,Diciembre,Viernes,0.0,0.0,0.0
Dead Presidents,9.87957,6.6,80.0,1995-10-06,1995,Octubre,Viernes,0.0,10000000.0,0.0
Restoration,10.979269,6.3,30.0,1995-12-29,1995,Diciembre,Viernes,0.0,19000000.0,0.0
Mortal Kombat,10.870138,5.4,452.0,1995-08-18,1995,Agosto,Viernes,122195920.0,18000000.0,6.788662222222222
To Die For,10.448481,6.7,177.0,1995-05-20,1995,Mayo,Sã¡bado,21284514.0,20000000.0,1.0642257
How To Make An American Quilt,4.485958,6.5,38.0,1995-10-06,1995,Octubre,Viernes,23574130.0,10000000.0,2.357413
Se7en,18.45743,8.1,5915.0,1995-09-22,1995,Septiembre,Viernes,327311859.0,33000000.0,9.918541181818181
Pocahontas,13.280069,6.7,1509.0,1995-06-14,1995,Junio,Miã©rcoles,346079773.0,55000000.0,6.292359509090909
When Night Is Falling,3.302524,5.9,10.0,1995-05-05,1995,Mayo,Viernes,0.0,0.0,0.0
The Usual Suspects,16.302466,8.1,3334.0,1995-07-19,1995,Julio,Miã©rcoles,23341568.0,6000000.0,3.890261333333333
Guardian Angel,0.595949,6.3,3.0,1994-11-22,1994,Noviembre,Martes,0.0,0.0,0.0
Mighty Aphrodite,15.899134,6.7,145.0,1995-09-13,1995,Septiembre,Miã©rcoles,6700000.0,15000000.0,0.44666666666666666
Lamerica,1.361286,7.7,11.0,1994-01-01,1994,Enero,Sã¡bado,0.0,0.0,0.0
The Big Green,5.982764,5.2,41.0,1995-09-29,1995,Septiembre,Viernes,0.0,0.0,0.0
Georgia,4.093443,6.1,15.0,1995-05-19,1995,Mayo,Viernes,0.0,0.0,0.0
Kids of the Round Table,0.307075,3.0,1.0,1997-07-08,1997,Julio,Martes,0.0,0.0,0.0
Home for the Holidays,8.416802,6.3,39.0,1995-11-02,1995,Noviembre,Jueves,17519169.0,0.0,0.0
The Postman,10.168437,7.6,181.0,1994-09-22,1994,Septiembre,Jueves,0.0,0.0,0.0
The Confessional,0.120789,6.5,2.0,1995-09-29,1995,Septiembre,Viernes,0.0,0.0,0.0
The Indian in the Cupboard,10.673296,5.9,136.0,1995-07-14,1995,Julio,Viernes,0.0,45000000.0,0.0
Eye for an Eye,4.733526,5.8,65.0,1996-01-12,1996,Enero,Viernes,0.0,20000000.0,0.0
Mr. Holland's Opus,7.137117,6.9,115.0,1995-12-29,1995,Diciembre,Viernes,106269971.0,0.0,0.0
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,11.700115,6.2,192.0,1996-01-12,1996,Enero,Viernes,0.0,0.0,0.0
Two If by Sea,2.174487,4.5,14.0,1996-01-12,1996,Enero,Viernes,0.0,0.0,0.0
Bio-Dome,6.387469,4.4,110.0,1996-01-12,1996,Enero,Viernes,0.0,15000000.0,0.0
Lawnmower Man 2: Beyond Cyberspace,2.49535,2.8,32.0,1996-01-12,1996,Enero,Viernes,2409225.0,0.0,0.0
Two Bits,4.046208,5.4,11.0,1995-10-22,1995,Octubre,Domingo,0.0,0.0,0.0
French Twist,2.518051,6.0,43.0,1995-02-08,1995,Febrero,Miã©rcoles,0.0,0.0,0.0
Friday,14.56965,7.0,513.0,1995-04-26,1995,Abril,Miã©rcoles,28215918.0,3500000.0,8.061690857142857
From Dusk Till Dawn,15.339153,6.9,1644.0,1996-01-19,1996,Enero,Viernes,25836616.0,19000000.0,1.3598218947368421
Fair Game,5.912223,4.1,54.0,1995-11-03,1995,Noviembre,Viernes,11534477.0,50000000.0,0.23068954
Kicking and Screaming,3.367276,7.0,36.0,1995-10-06,1995,Octubre,Viernes,718490.0,0.0,0.0
Les Miserables,1.479446,6.6,8.0,1995-03-22,1995,Marzo,Miã©rcoles,0.0,0.0,0.0
Bed of Roses,10.412194,5.1,27.0,1996-01-26,1996,Enero,Viernes,19030691.0,0.0,0.0
Big Bully,2.936443,3.9,16.0,1996-01-26,1996,Enero,Viernes,2042530.0,15000000.0,0.13616866666666666
Screamers,12.758848,6.1,154.0,1995-09-08,1995,Septiembre,Viernes,5781885.0,20000000.0,0.28909425
Nico Icon,0.133893,7.3,3.0,1995-02-18,1995,Febrero,Sã¡bado,0.0,0.0,0.0
The Crossing Guard,5.756462,6.1,74.0,1995-11-15,1995,Noviembre,Miã©rcoles,0.0,0.0,0.0
The Juror,6.010579,5.5,91.0,1996-02-02,1996,Febrero,Viernes,0.0,44000000.0,0.0
The White Balloon,1.196256,7.5,20.0,1995-01-01,1995,Enero,Domingo,0.0,0.0,0.0
Things to Do in Denver When You're Dead,4.486179,6.7,87.0,1995-12-01,1995,Diciembre,Viernes,529766.0,8000000.0,0.06622075
Antonia's Line,2.030174,7.2,26.0,1995-09-12,1995,Septiembre,Martes,0.0,900000.0,0.0
Once Upon a Time... When We Were Colored,0.252287,4.5,2.0,1996-01-26,1996,Enero,Viernes,0.0,0.0,0.0
Last Summer in the Hamptons,0.531159,0.0,0.0,1995-11-22,1995,Noviembre,Miã©rcoles,0.0,0.0,0.0
Angels and Insects,2.15166,6.3,17.0,1995-09-10,1995,Septiembre,Domingo,0.0,0.0,0.0
White Squall,9.568604,6.3,86.0,1996-02-02,1996,Febrero,Viernes,10300000.0,38000000.0,0.2710526315789474
Dunston Checks In,4.814825,5.1,59.0,1996-01-12,1996,Enero,Viernes,0.0,16000000.0,0.0
Black Sheep,8.963037,6.0,124.0,1996-02-01,1996,Febrero,Jueves,32.0,0.0,0.0
Nick of Time,6.848591,6.1,190.0,1995-11-22,1995,Noviembre,Miã©rcoles,8175346.0,8169363.0,1.000732370443081
The Journey of August King,0.411424,6.7,3.0,1995-09-14,1995,Septiembre,Jueves,0.0,0.0,0.0
Mary Reilly,12.866139,5.7,77.0,1996-02-23,1996,Febrero,Viernes,12379402.0,47000000.0,0.2633915319148936
Vampire in Brooklyn,9.071127,4.5,113.0,1995-10-26,1995,Octubre,Jueves,19800000.0,14000000.0,1.4142857142857144
Beautiful Girls,4.670562,6.6,103.0,1996-02-09,1996,Febrero,Viernes,0.0,0.0,0.0
Broken Arrow,14.957626,5.7,459.0,1996-02-09,1996,Febrero,Viernes,150270147.0,50000000.0,3.00540294
A Midwinter's Tale,0.513391,7.5,6.0,1995-12-01,1995,Diciembre,Viernes,0.0,0.0,0.0
La Haine,12.108196,7.9,695.0,1995-05-31,1995,Mayo,Miã©rcoles,0.0,3000000.0,0.0
Shopping,2.657647,5.6,13.0,1994-12-06,1994,Diciembre,Martes,0.0,0.0,0.0
Heidi Fleiss: Hollywood Madam,0.638211,6.8,4.0,1995-12-27,1995,Diciembre,Miã©rcoles,0.0,0.0,0.0
City Hall,4.807223,6.0,67.0,1996-02-16,1996,Febrero,Viernes,0.0,0.0,0.0
Bottle Rocket,6.904831,6.8,285.0,1996-02-21,1996,Febrero,Miã©rcoles,560069.0,7000000.0,0.08000985714285715
Mr. Wrong,3.329264,3.3,16.0,1996-02-16,1996,Febrero,Viernes,0.0,0.0,0.0
Unforgettable,2.464425,5.3,22.0,1996-02-23,1996,Febrero,Viernes,0.0,18000000.0,0.0
Happy Gilmore,9.592265,6.5,767.0,1996-02-16,1996,Febrero,Viernes,41205099.0,12000000.0,3.43375825
The Bridges of Madison County,5.951077,7.3,397.0,1995-05-28,1995,Mayo,Domingo,182016617.0,24000000.0,7.584025708333333
Nobody Loves Me,1.015068,5.1,5.0,1994-11-07,1994,Noviembre,Lunes,0.0,0.0,0.0
Muppet Treasure Island,6.902423,6.5,93.0,1996-02-16,1996,Febrero,Viernes,34327391.0,0.0,0.0
Catwalk,0.976707,7.0,2.0,1995-12-08,1995,Diciembre,Viernes,0.0,0.0,0.0
Headless Body in Topless Bar,0.001346,0.0,0.0,1995-05-20,1995,Mayo,Sã¡bado,0.0,0.0,0.0
Braveheart,20.755149,7.7,3404.0,1995-05-24,1995,Mayo,Miã©rcoles,210000000.0,72000000.0,2.9166666666666665
Taxi Driver,14.092713,8.1,2632.0,1976-02-07,1976,Febrero,Sã¡bado,28262574.0,1300000.0,21.74044153846154
Rumble in the Bronx,12.314278,6.5,245.0,1995-01-30,1995,Enero,Lunes,32392047.0,7500000.0,4.3189396
Before and After,2.938293,5.8,37.0,1996-02-23,1996,Febrero,Viernes,0.0,35000000.0,0.0
Margaret's Museum,0.372697,7.5,2.0,1995-09-13,1995,Septiembre,Miã©rcoles,0.0,0.0,0.0
Happiness Is in the Field,1.254885,7.0,23.0,1995-01-31,1995,Enero,Martes,0.0,13365000.0,0.0
Anne Frank Remembered,0.243986,7.3,4.0,1995-06-08,1995,Junio,Jueves,1.0,0.0,0.0
The Young Poisoner's Handbook,6.178497,6.9,19.0,1995-01-20,1995,Enero,Viernes,0.0,0.0,0.0
If Lucy Fell,2.891918,5.4,11.0,1996-03-08,1996,Marzo,Viernes,0.0,0.0,0.0
Steal Big Steal Little,1.522412,5.1,7.0,1995-09-29,1995,Septiembre,Viernes,6278139.0,25000000.0,0.25112556
Race the Sun,1.317878,5.2,21.0,1996-03-22,1996,Marzo,Viernes,0.0,0.0,0.0
The Boys of St. Vincent,0.86539,7.0,7.0,1992-12-06,1992,Diciembre,Domingo,0.0,0.0,0.0
Boomerang,6.506983,5.4,139.0,1992-06-30,1992,Junio,Martes,70100000.0,40000000.0,1.7525
Chungking Express,6.778979,7.9,249.0,1994-07-14,1994,Julio,Jueves,0.0,0.0,0.0
The Star Maker,1.702639,6.8,29.0,1995-09-21,1995,Septiembre,Jueves,0.0,0.0,0.0
Flirting with Disaster,5.579088,6.3,66.0,1996-03-22,1996,Marzo,Viernes,14702438.0,7000000.0,2.100348285714286
The Neverending Story III: Escape from Fantasia,6.252377,4.4,105.0,1994-10-26,1994,Octubre,Miã©rcoles,0.0,17000000.0,0.0
The Silences of the Palace,0.406754,4.3,3.0,1994-09-30,1994,Septiembre,Viernes,0.0,0.0,0.0
Jupiter's Wife,0.001178,0.0,0.0,1995-01-01,1995,Enero,Domingo,0.0,0.0,0.0
Pie in the Sky,0.699066,7.0,2.0,1996-02-09,1996,Febrero,Viernes,0.0,0.0,0.0
Angela,2.197439,5.6,9.0,1995-01-01,1995,Enero,Domingo,0.0,0.0,0.0
Frankie Starlight,0.637554,5.4,4.0,1995-11-22,1995,Noviembre,Miã©rcoles,0.0,0.0,0.0
Jade,11.418917,5.1,45.0,1995-10-13,1995,Octubre,Viernes,9851610.0,50000000.0,0.1970322
Nueba Yol,0.291021,5.5,1.0,1995-08-16,1995,Agosto,Miã©rcoles,0.0,0.0,0.0
Sonic Outlaws,0.001838,0.0,0.0,1995-08-01,1995,Agosto,Martes,0.0,0.0,0.0
Down Periscope,5.184977,5.6,110.0,1996-03-01,1996,Marzo,Viernes,0.0,0.0,0.0
From the Journals of Jean Seberg,0.276401,6.5,2.0,1995-09-08,1995,Septiembre,Viernes,0.0,0.0,0.0
Man of the Year,0.540436,3.8,2.0,1995-09-15,1995,Septiembre,Viernes,209935.0,0.0,0.0
The Neon Bible,0.370342,7.2,5.0,1995-08-23,1995,Agosto,Miã©rcoles,0.0,0.0,0.0
Target,0.001205,0.0,0.0,1995-08-01,1995,Agosto,Martes,0.0,0.0,0.0
Up Close & Personal,3.402749,5.9,51.0,1996-03-01,1996,Marzo,Viernes,0.0,60000000.0,0.0
The Birdcage,6.49968,6.7,303.0,1996-03-08,1996,Marzo,Viernes,185260553.0,31000000.0,5.976146870967742
Virgin Mary,0.918504,7.0,2.0,1995-10-12,1995,Octubre,Jueves,0.0,0.0,0.0
The Brothers McMullen,2.039196,6.3,23.0,1995-08-09,1995,Agosto,Miã©rcoles,0.0,0.0,0.0
Bad Boys,9.262184,6.5,1729.0,1995-04-07,1995,Abril,Viernes,141407024.0,19000000.0,7.442474947368421
The Amazing Panda Adventure,2.375865,5.0,31.0,1995-08-25,1995,Agosto,Viernes,0.0,0.0,0.0
The Basketball Diaries,7.415144,7.2,472.0,1995-04-21,1995,Abril,Viernes,0.0,0.0,0.0
An Awfully Big Adventure,0.922958,6.0,11.0,1995-07-21,1995,Julio,Viernes,851545.0,4000000.0,0.21288625
Amateur,1.759012,6.5,21.0,1994-08-05,1994,Agosto,Viernes,0.0,0.0,0.0
Apollo 13,18.761467,7.3,1637.0,1995-06-30,1995,Junio,Viernes,355237933.0,52000000.0,6.831498711538462
Rob Roy,10.193549,6.5,151.0,1995-04-13,1995,Abril,Jueves,31596911.0,28000000.0,1.1284611071428572
The Addiction,3.137285,6.4,46.0,1995-01-10,1995,Enero,Martes,0.0,0.0,0.0
Batman Forever,13.321354,5.2,1529.0,1995-06-16,1995,Junio,Viernes,336529144.0,100000000.0,3.36529144
Belle de Jour,10.142662,7.3,163.0,1967-05-24,1967,Mayo,Miã©rcoles,0.0,0.0,0.0
Beyond Rangoon,2.04189,6.4,21.0,1995-05-24,1995,Mayo,Miã©rcoles,0.0,0.0,0.0
Blue in the Face,11.528147,6.8,28.0,1995-09-15,1995,Septiembre,Viernes,1275000.0,2000000.0,0.6375
Canadian Bacon,5.391556,5.9,57.0,1995-06-08,1995,Junio,Jueves,178104.0,11000000.0,0.016191272727272728
Casper,12.812539,6.0,1045.0,1995-05-26,1995,Mayo,Viernes,287928194.0,50000000.0,5.75856388
Clockers,4.558992,6.8,69.0,1995-09-15,1995,Septiembre,Viernes,13071518.0,25000000.0,0.52286072
Congo,7.260574,5.0,214.0,1995-06-09,1995,Junio,Viernes,152022101.0,50000000.0,3.04044202
Crimson Tide,8.657365,7.0,508.0,1995-05-12,1995,Mayo,Viernes,157387195.0,53000000.0,2.969569716981132
Crumb,3.620388,7.6,71.0,1994-09-10,1994,Septiembre,Sã¡bado,3174695.0,0.0,0.0
Desperado,6.950458,6.8,898.0,1995-08-25,1995,Agosto,Viernes,25405445.0,7000000.0,3.6293492857142855
Devil in a Blue Dress,4.646132,6.3,88.0,1995-09-15,1995,Septiembre,Viernes,16140822.0,27000000.0,0.5978082222222222
Die Hard: With a Vengeance,15.138855,6.9,2094.0,1995-05-19,1995,Mayo,Viernes,366101666.0,90000000.0,4.067796288888889
The Doom Generation,7.120806,5.6,57.0,1995-10-27,1995,Octubre,Viernes,0.0,0.0,0.0
Feast of July,0.523575,0.0,0.0,1995-10-12,1995,Octubre,Jueves,0.0,0.0,0.0
First Knight,15.178338,5.9,319.0,1995-07-07,1995,Julio,Viernes,127600435.0,55000000.0,2.320007909090909
Free Willy 2 - The Adventure Home,7.575098,5.5,130.0,1995-07-19,1995,Julio,Miã©rcoles,0.0,0.0,0.0
Hackers,14.810519,6.2,406.0,1995-09-14,1995,Septiembre,Jueves,7563728.0,20000000.0,0.3781864
Jeffrey,3.196456,6.5,19.0,1995-08-18,1995,Agosto,Viernes,0.0,0.0,0.0
Johnny Mnemonic,11.715868,5.5,380.0,1995-05-26,1995,Mayo,Viernes,19075720.0,25000000.0,0.7630288
Judge Dredd,8.184815,5.4,643.0,1995-06-30,1995,Junio,Viernes,113493481.0,90000000.0,1.2610386777777778
Jury Duty,3.676921,4.0,34.0,1995-04-12,1995,Abril,Miã©rcoles,17014653.0,0.0,0.0
Kids,4.877872,6.8,280.0,1995-07-28,1995,Julio,Viernes,7412216.0,1500000.0,4.941477333333333
Living in Oblivion,10.058329,7.2,64.0,1995-01-20,1995,Enero,Viernes,1148752.0,500000.0,2.297504
Lord of Illusions,4.102409,5.9,87.0,1995-08-25,1995,Agosto,Viernes,0.0,0.0,0.0
Love & Human Remains,0.354014,7.0,7.0,1993-05-20,1993,Mayo,Jueves,0.0,0.0,0.0
Mad Love,2.624771,5.5,27.0,1995-05-26,1995,Mayo,Viernes,15453274.0,0.0,0.0
Mallrats,8.25547,6.8,400.0,1995-10-20,1995,Octubre,Viernes,2122561.0,6000000.0,0.35376016666666665
Mighty Morphin Power Rangers: The Movie,7.024227,5.2,153.0,1995-06-30,1995,Junio,Viernes,66000000.0,15000000.0,4.4
Moonlight and Valentino,1.01115,5.6,10.0,1995-09-29,1995,Septiembre,Viernes,0.0,0.0,0.0
Mute Witness,2.466066,6.4,36.0,1995-09-28,1995,Septiembre,Jueves,1.0,2.0,0.5
Nadja,7.720056,5.9,12.0,1994-09-13,1994,Septiembre,Martes,0.0,0.0,0.0
The Net,13.304342,5.6,359.0,1995-07-28,1995,Julio,Viernes,110627965.0,22000000.0,5.028543863636363
Nine Months,8.482834,5.5,171.0,1995-07-12,1995,Julio,Miã©rcoles,69660733.0,0.0,0.0
Party Girl,1.165039,5.8,14.0,1995-06-09,1995,Junio,Viernes,472370.0,150000.0,3.1491333333333333
The Prophecy,10.187623,6.4,139.0,1995-09-01,1995,Septiembre,Viernes,16.0,8.0,2.0
Reckless,0.119713,10.0,1.0,1995-11-17,1995,Noviembre,Viernes,0.0,0.0,0.0
Safe,8.180047,7.2,62.0,1995-06-23,1995,Junio,Viernes,0.0,0.0,0.0
The Scarlet Letter,6.752119,5.5,111.0,1995-10-13,1995,Octubre,Viernes,10382407.0,50000000.0,0.20764814
The Show,0.159596,5.3,2.0,1995-08-25,1995,Agosto,Viernes,0.0,0.0,0.0
Showgirls,17.502375,4.9,261.0,1995-09-22,1995,Septiembre,Viernes,20350754.0,45000000.0,0.4522389777777778
Smoke,5.552946,7.2,115.0,1995-06-09,1995,Junio,Viernes,8349430.0,7000000.0,1.1927757142857143
Something to Talk About,3.743212,5.7,60.0,1995-08-04,1995,Agosto,Viernes,50892160.0,0.0,0.0
Species,13.492845,5.5,457.0,1995-07-07,1995,Julio,Viernes,113374103.0,35000000.0,3.2392600857142857
The Stars Fell on Henrietta,0.913522,6.6,6.0,1995-09-15,1995,Septiembre,Viernes,0.0,0.0,0.0
Strange Days,11.223055,6.8,334.0,1995-10-13,1995,Octubre,Viernes,7959291.0,42000000.0,0.18950692857142856
The Umbrellas of Cherbourg,8.133881,7.6,119.0,1964-02-19,1964,Febrero,Miã©rcoles,0.0,0.0,0.0
The Tie That Binds,1.820419,4.6,9.0,1995-09-08,1995,Septiembre,Viernes,5780000.0,14000000.0,0.41285714285714287
Three Wishes,11.002046,6.1,18.0,1995-10-27,1995,Octubre,Viernes,7025496.0,0.0,0.0
Total Eclipse,4.546552,6.5,112.0,1995-11-02,1995,Noviembre,Jueves,339889.0,0.0,0.0
"To Wong Foo, Thanks for Everything! Julie Newmar",7.653446,6.3,117.0,1995-09-07,1995,Septiembre,Jueves,47774193.0,0.0,0.0
Under Siege 2: Dark Territory,7.490247,5.6,217.0,1995-07-13,1995,Julio,Jueves,104324083.0,60000000.0,1.7387347166666667
Unstrung Heroes,2.881689,6.4,9.0,1995-09-15,1995,Septiembre,Viernes,0.0,0.0,0.0
Unzipped,0.786023,6.0,6.0,1995-08-11,1995,Agosto,Viernes,0.0,0.0,0.0
A Walk in the Clouds,9.715639,6.5,168.0,1995-08-11,1995,Agosto,Viernes,50012507.0,20000000.0,2.50062535
Waterworld,16.885184,5.9,1017.0,1995-07-28,1995,Julio,Viernes,264218220.0,175000000.0,1.5098184
White Man's Burden,1.834099,5.1,25.0,1995-12-01,1995,Diciembre,Viernes,0.0,8000000.0,0.0
Wild Bill,8.922139,5.9,27.0,1995-12-01,1995,Diciembre,Viernes,0.0,30000000.0,0.0
The Browning Version,3.727644,6.0,11.0,1994-10-12,1994,Octubre,Miã©rcoles,0.0,0.0,0.0
Bushwhacked,3.287036,4.9,29.0,1995-08-04,1995,Agosto,Viernes,0.0,0.0,0.0
Burnt by the Sun,2.486073,6.7,35.0,1994-05-01,1994,Mayo,Domingo,2616503.0,2800000.0,0.9344653571428572
Before the Rain,3.525649,7.7,45.0,1994-06-09,1994,Junio,Jueves,763847.0,0.0,0.0
Before Sunrise,11.304979,7.7,984.0,1995-01-27,1995,Enero,Viernes,5535405.0,2500000.0,2.214162
Billy Madison,6.638116,6.2,464.0,1995-02-10,1995,Febrero,Viernes,26488734.0,10000000.0,2.6488734
The Babysitter,2.761837,4.7,27.0,1995-10-17,1995,Octubre,Martes,0.0,0.0,0.0
Boys on the Side,3.030309,6.3,48.0,1995-02-03,1995,Febrero,Viernes,23450000.0,21000000.0,1.1166666666666667
The Cure,2.686342,7.2,58.0,1995-04-21,1995,Abril,Viernes,0.0,0.0,0.0
Castle Freak,2.26977,5.8,40.0,1995-08-04,1995,Agosto,Viernes,0.0,0.0,0.0
Circle of Friends,2.605521,6.5,30.0,1995-03-16,1995,Marzo,Jueves,0.0,0.0,0.0
Clerks,10.513367,7.4,769.0,1994-09-13,1994,Septiembre,Martes,3151130.0,27000.0,116.70851851851852
Don Juan DeMarco,7.438934,6.3,184.0,1994-10-01,1994,Octubre,Sã¡bado,22200000.0,25000000.0,0.888
Disclosure,11.812244,5.9,217.0,1994-12-09,1994,Diciembre,Viernes,214015089.0,55000000.0,3.891183436363636
Dream Man,0.155859,2.5,1.0,1995-01-01,1995,Enero,Domingo,0.0,0.0,0.0
Drop Zone,9.579155,5.1,91.0,1994-12-08,1994,Diciembre,Jueves,0.0,45000000.0,0.0
Destiny Turns on the Radio,0.710671,5.3,9.0,1995-04-28,1995,Abril,Viernes,0.0,0.0,0.0
Death and the Maiden,5.484156,7.1,92.0,1994-05-04,1994,Mayo,Miã©rcoles,0.0,0.0,0.0
Dolores Claiborne,5.8025,7.1,183.0,1995-03-24,1995,Marzo,Viernes,0.0,0.0,0.0
Dumb and Dumber,9.844558,6.5,1894.0,1994-12-16,1994,Diciembre,Viernes,247275374.0,16000000.0,15.454710875
Eat Drink Man Woman,4.860016,7.5,76.0,1994-08-03,1994,Agosto,Miã©rcoles,7294403.0,0.0,0.0
Exotica,5.378467,6.5,64.0,1994-09-24,1994,Septiembre,Sã¡bado,0.0,0.0,0.0
Exit to Eden,4.322726,4.3,28.0,1994-10-14,1994,Octubre,Viernes,6841570.0,0.0,0.0
Ed Wood,11.720358,7.3,639.0,1994-09-27,1994,Septiembre,Martes,5887457.0,18000000.0,0.32708094444444447
French Kiss,9.146544,6.2,179.0,1995-05-05,1995,Mayo,Viernes,0.0,0.0,0.0
Forget Paris,16.236745,6.1,38.0,1995-05-19,1995,Mayo,Viernes,0.0,0.0,0.0
Far from Home: The Adventures of Yellow Dog,2.657337,5.6,27.0,1995-01-13,1995,Enero,Viernes,0.0,0.0,0.0
A Goofy Movie,10.177977,6.7,404.0,1995-04-07,1995,Abril,Viernes,35348597.0,0.0,0.0
Hideaway,8.182165,5.0,24.0,1995-03-03,1995,Marzo,Viernes,12201255.0,15000000.0,0.813417
Fluke,4.953936,6.6,48.0,1995-06-02,1995,Junio,Viernes,0.0,0.0,0.0
Farinelli,8.935058,5.9,20.0,1994-12-07,1994,Diciembre,Miã©rcoles,0.0,0.0,0.0
Gordy,0.398924,3.0,4.0,1995-05-12,1995,Mayo,Viernes,3992809.0,0.0,0.0
Gumby: The Movie,0.090452,5.0,2.0,1995-12-01,1995,Diciembre,Viernes,0.0,0.0,0.0
The Glass Shield,1.012197,5.4,9.0,1994-09-16,1994,Septiembre,Viernes,0.0,0.0,0.0
