title,popularity,vote_average,vote_count,release_date,release_year,month_name,day_name,lowercase_title
Get Shorty,12.669608,6.4,305.0,1995-10-20,1995,Octubre,Viernes,get shorty
Copycat,10.701801,6.5,199.0,1995-10-27,1995,Octubre,Viernes,copycat
Assassins,11.065939,6.0,394.0,1995-10-06,1995,Octubre,Viernes,assassins
Powder,12.133094,6.3,143.0,1995-10-27,1995,Octubre,Viernes,powder
Leaving Las Vegas,10.332025,7.1,365.0,1995-10-27,1995,Octubre,Viernes,leaving las vegas
Othello,1.845899,7.0,33.0,1995-12-15,1995,Diciembre,Viernes,othello
Now and Then,8.681325,6.6,91.0,1995-10-20,1995,Octubre,Viernes,now and then
Persuasion,2.228434,7.4,36.0,1995-09-27,1995,Septiembre,Miércoles,persuasion
The City of Lost Children,9.822423,7.6,308.0,1995-05-16,1995,Mayo,Martes,the city of lost children
Shanghai Triad,1.100915,6.5,17.0,1995-04-30,1995,Abril,Domingo,shanghai triad
Dangerous Minds,9.481338,6.4,249.0,1995-08-11,1995,Agosto,Viernes,dangerous minds
Twelve Monkeys,12.297305,7.4,2470.0,1995-12-29,1995,Diciembre,Viernes,twelve monkeys
Wings of Courage,0.745542,6.8,4.0,1996-09-18,1996,Septiembre,Miércoles,wings of courage
Babe,14.404764,6.0,756.0,1995-07-18,1995,Julio,Martes,babe
Carrington,1.493361,6.4,16.0,1995-11-08,1995,Noviembre,Miércoles,carrington
Dead Man Walking,6.891317,7.3,350.0,1995-12-29,1995,Diciembre,Viernes,dead man walking
Across the Sea of Time,0.114469,3.5,2.0,1995-10-20,1995,Octubre,Viernes,across the sea of time
It Takes Two,7.777735,6.1,149.0,1995-11-17,1995,Noviembre,Viernes,it takes two
Clueless,9.882383,6.9,828.0,1995-07-19,1995,Julio,Miércoles,clueless
"Cry, the Beloved Country",0.894647,6.7,13.0,1995-12-15,1995,Diciembre,Viernes,"cry, the beloved country"
Richard III,4.561387,6.9,50.0,1995-12-29,1995,Diciembre,Viernes,richard iii
Dead Presidents,9.87957,6.6,80.0,1995-10-06,1995,Octubre,Viernes,dead presidents
Restoration,10.979269,6.3,30.0,1995-12-29,1995,Diciembre,Viernes,restoration
Mortal Kombat,10.870138,5.4,452.0,1995-08-18,1995,Agosto,Viernes,mortal kombat
To Die For,10.448481,6.7,177.0,1995-05-20,1995,Mayo,Sábado,to die for
How To Make An American Quilt,4.485958,6.5,38.0,1995-10-06,1995,Octubre,Viernes,how to make an american quilt
Se7en,18.45743,8.1,5915.0,1995-09-22,1995,Septiembre,Viernes,se7en
Pocahontas,13.280069,6.7,1509.0,1995-06-14,1995,Junio,Miércoles,pocahontas
When Night Is Falling,3.302524,5.9,10.0,1995-05-05,1995,Mayo,Viernes,when night is falling
The Usual Suspects,16.302466,8.1,3334.0,1995-07-19,1995,Julio,Miércoles,the usual suspects
Guardian Angel,0.595949,6.3,3.0,1994-11-22,1994,Noviembre,Martes,guardian angel
Mighty Aphrodite,15.899134,6.7,145.0,1995-09-13,1995,Septiembre,Miércoles,mighty aphrodite
Lamerica,1.361286,7.7,11.0,1994-01-01,1994,Enero,Sábado,lamerica
The Big Green,5.982764,5.2,41.0,1995-09-29,1995,Septiembre,Viernes,the big green
Georgia,4.093443,6.1,15.0,1995-05-19,1995,Mayo,Viernes,georgia
Kids of the Round Table,0.307075,3.0,1.0,1997-07-08,1997,Julio,Martes,kids of the round table
Home for the Holidays,8.416802,6.3,39.0,1995-11-02,1995,Noviembre,Jueves,home for the holidays
The Postman,10.168437,7.6,181.0,1994-09-22,1994,Septiembre,Jueves,the postman
The Confessional,0.120789,6.5,2.0,1995-09-29,1995,Septiembre,Viernes,the confessional
The Indian in the Cupboard,10.673296,5.9,136.0,1995-07-14,1995,Julio,Viernes,the indian in the cupboard
Eye for an Eye,4.733526,5.8,65.0,1996-01-12,1996,Enero,Viernes,eye for an eye
Mr. Holland's Opus,7.137117,6.9,115.0,1995-12-29,1995,Diciembre,Viernes,mr. holland's opus
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,11.700115,6.2,192.0,1996-01-12,1996,Enero,Viernes,don't be a menace to south central while drinking your juice in the hood
Two If by Sea,2.174487,4.5,14.0,1996-01-12,1996,Enero,Viernes,two if by sea
Bio-Dome,6.387469,4.4,110.0,1996-01-12,1996,Enero,Viernes,bio-dome
Lawnmower Man 2: Beyond Cyberspace,2.49535,2.8,32.0,1996-01-12,1996,Enero,Viernes,lawnmower man 2: beyond cyberspace
Two Bits,4.046208,5.4,11.0,1995-10-22,1995,Octubre,Domingo,two bits
French Twist,2.518051,6.0,43.0,1995-02-08,1995,Febrero,Miércoles,french twist
Friday,14.56965,7.0,513.0,1995-04-26,1995,Abril,Miércoles,friday
From Dusk Till Dawn,15.339153,6.9,1644.0,1996-01-19,1996,Enero,Viernes,from dusk till dawn
Fair Game,5.912223,4.1,54.0,1995-11-03,1995,Noviembre,Viernes,fair game
Kicking and Screaming,3.367276,7.0,36.0,1995-10-06,1995,Octubre,Viernes,kicking and screaming
Les Miserables,1.479446,6.6,8.0,1995-03-22,1995,Marzo,Miércoles,les miserables
Bed of Roses,10.412194,5.1,27.0,1996-01-26,1996,Enero,Viernes,bed of roses
Big Bully,2.936443,3.9,16.0,1996-01-26,1996,Enero,Viernes,big bully
Screamers,12.758848,6.1,154.0,1995-09-08,1995,Septiembre,Viernes,screamers
Nico Icon,0.133893,7.3,3.0,1995-02-18,1995,Febrero,Sábado,nico icon
The Crossing Guard,5.756462,6.1,74.0,1995-11-15,1995,Noviembre,Miércoles,the crossing guard
The Juror,6.010579,5.5,91.0,1996-02-02,1996,Febrero,Viernes,the juror
The White Balloon,1.196256,7.5,20.0,1995-01-01,1995,Enero,Domingo,the white balloon
Things to Do in Denver When You're Dead,4.486179,6.7,87.0,1995-12-01,1995,Diciembre,Viernes,things to do in denver when you're dead
Antonia's Line,2.030174,7.2,26.0,1995-09-12,1995,Septiembre,Martes,antonia's line
Once Upon a Time... When We Were Colored,0.252287,4.5,2.0,1996-01-26,1996,Enero,Viernes,once upon a time... when we were colored
Last Summer in the Hamptons,0.531159,0.0,0.0,1995-11-22,1995,Noviembre,Miércoles,last summer in the hamptons
Angels and Insects,2.15166,6.3,17.0,1995-09-10,1995,Septiembre,Domingo,angels and insects
White Squall,9.568604,6.3,86.0,1996-02-02,1996,Febrero,Viernes,white squall
Dunston Checks In,4.814825,5.1,59.0,1996-01-12,1996,Enero,Viernes,dunston checks in
Black Sheep,8.963037,6.0,124.0,1996-02-01,1996,Febrero,Jueves,black sheep
Nick of Time,6.848591,6.1,190.0,1995-11-22,1995,Noviembre,Miércoles,nick of time
The Journey of August King,0.411424,6.7,3.0,1995-09-14,1995,Septiembre,Jueves,the journey of august king
Mary Reilly,12.866139,5.7,77.0,1996-02-23,1996,Febrero,Viernes,mary reilly
Vampire in Brooklyn,9.071127,4.5,113.0,1995-10-26,1995,Octubre,Jueves,vampire in brooklyn
Beautiful Girls,4.670562,6.6,103.0,1996-02-09,1996,Febrero,Viernes,beautiful girls
Broken Arrow,14.957626,5.7,459.0,1996-02-09,1996,Febrero,Viernes,broken arrow
A Midwinter's Tale,0.513391,7.5,6.0,1995-12-01,1995,Diciembre,Viernes,a midwinter's tale
La Haine,12.108196,7.9,695.0,1995-05-31,1995,Mayo,Miércoles,la haine
Shopping,2.657647,5.6,13.0,1994-12-06,1994,Diciembre,Martes,shopping
Heidi Fleiss: Hollywood Madam,0.638211,6.8,4.0,1995-12-27,1995,Diciembre,Miércoles,heidi fleiss: hollywood madam
City Hall,4.807223,6.0,67.0,1996-02-16,1996,Febrero,Viernes,city hall
Bottle Rocket,6.904831,6.8,285.0,1996-02-21,1996,Febrero,Miércoles,bottle rocket
Mr. Wrong,3.329264,3.3,16.0,1996-02-16,1996,Febrero,Viernes,mr. wrong
Unforgettable,2.464425,5.3,22.0,1996-02-23,1996,Febrero,Viernes,unforgettable
Happy Gilmore,9.592265,6.5,767.0,1996-02-16,1996,Febrero,Viernes,happy gilmore
The Bridges of Madison County,5.951077,7.3,397.0,1995-05-28,1995,Mayo,Domingo,the bridges of madison county
Nobody Loves Me,1.015068,5.1,5.0,1994-11-07,1994,Noviembre,Lunes,nobody loves me
Muppet Treasure Island,6.902423,6.5,93.0,1996-02-16,1996,Febrero,Viernes,muppet treasure island
Catwalk,0.976707,7.0,2.0,1995-12-08,1995,Diciembre,Viernes,catwalk
Headless Body in Topless Bar,0.001346,0.0,0.0,1995-05-20,1995,Mayo,Sábado,headless body in topless bar
Braveheart,20.755149,7.7,3404.0,1995-05-24,1995,Mayo,Miércoles,braveheart
Taxi Driver,14.092713,8.1,2632.0,1976-02-07,1976,Febrero,Sábado,taxi driver
Rumble in the Bronx,12.314278,6.5,245.0,1995-01-30,1995,Enero,Lunes,rumble in the bronx
Before and After,2.938293,5.8,37.0,1996-02-23,1996,Febrero,Viernes,before and after
Margaret's Museum,0.372697,7.5,2.0,1995-09-13,1995,Septiembre,Miércoles,margaret's museum
Happiness Is in the Field,1.254885,7.0,23.0,1995-01-31,1995,Enero,Martes,happiness is in the field
Anne Frank Remembered,0.243986,7.3,4.0,1995-06-08,1995,Junio,Jueves,anne frank remembered
The Young Poisoner's Handbook,6.178497,6.9,19.0,1995-01-20,1995,Enero,Viernes,the young poisoner's handbook
If Lucy Fell,2.891918,5.4,11.0,1996-03-08,1996,Marzo,Viernes,if lucy fell
Steal Big Steal Little,1.522412,5.1,7.0,1995-09-29,1995,Septiembre,Viernes,steal big steal little
Race the Sun,1.317878,5.2,21.0,1996-03-22,1996,Marzo,Viernes,race the sun
The Boys of St. Vincent,0.86539,7.0,7.0,1992-12-06,1992,Diciembre,Domingo,the boys of st. vincent
Boomerang,6.506983,5.4,139.0,1992-06-30,1992,Junio,Martes,boomerang
Chungking Express,6.778979,7.9,249.0,1994-07-14,1994,Julio,Jueves,chungking express
The Star Maker,1.702639,6.8,29.0,1995-09-21,1995,Septiembre,Jueves,the star maker
Flirting with Disaster,5.579088,6.3,66.0,1996-03-22,1996,Marzo,Viernes,flirting with disaster
The Neverending Story III: Escape from Fantasia,6.252377,4.4,105.0,1994-10-26,1994,Octubre,Miércoles,the neverending story iii: escape from fantasia
The Silences of the Palace,0.406754,4.3,3.0,1994-09-30,1994,Septiembre,Viernes,the silences of the palace
Jupiter's Wife,0.001178,0.0,0.0,1995-01-01,1995,Enero,Domingo,jupiter's wife
Pie in the Sky,0.699066,7.0,2.0,1996-02-09,1996,Febrero,Viernes,pie in the sky
Angela,2.197439,5.6,9.0,1995-01-01,1995,Enero,Domingo,angela
Frankie Starlight,0.637554,5.4,4.0,1995-11-22,1995,Noviembre,Miércoles,frankie starlight
Jade,11.418917,5.1,45.0,1995-10-13,1995,Octubre,Viernes,jade
Nueba Yol,0.291021,5.5,1.0,1995-08-16,1995,Agosto,Miércoles,nueba yol
Sonic Outlaws,0.001838,0.0,0.0,1995-08-01,1995,Agosto,Martes,sonic outlaws
Down Periscope,5.184977,5.6,110.0,1996-03-01,1996,Marzo,Viernes,down periscope
From the Journals of Jean Seberg,0.276401,6.5,2.0,1995-09-08,1995,Septiembre,Viernes,from the journals of jean seberg
Man of the Year,0.540436,3.8,2.0,1995-09-15,1995,Septiembre,Viernes,man of the year
The Neon Bible,0.370342,7.2,5.0,1995-08-23,1995,Agosto,Miércoles,the neon bible
Target,0.001205,0.0,0.0,1995-08-01,1995,Agosto,Martes,target
Up Close & Personal,3.402749,5.9,51.0,1996-03-01,1996,Marzo,Viernes,up close & personal
The Birdcage,6.49968,6.7,303.0,1996-03-08,1996,Marzo,Viernes,the birdcage
Virgin Mary,0.918504,7.0,2.0,1995-10-12,1995,Octubre,Jueves,virgin mary
The Brothers McMullen,2.039196,6.3,23.0,1995-08-09,1995,Agosto,Miércoles,the brothers mcmullen
Bad Boys,9.262184,6.5,1729.0,1995-04-07,1995,Abril,Viernes,bad boys
The Amazing Panda Adventure,2.375865,5.0,31.0,1995-08-25,1995,Agosto,Viernes,the amazing panda adventure
The Basketball Diaries,7.415144,7.2,472.0,1995-04-21,1995,Abril,Viernes,the basketball diaries
An Awfully Big Adventure,0.922958,6.0,11.0,1995-07-21,1995,Julio,Viernes,an awfully big adventure
Amateur,1.759012,6.5,21.0,1994-08-05,1994,Agosto,Viernes,amateur
Apollo 13,18.761467,7.3,1637.0,1995-06-30,1995,Junio,Viernes,apollo 13
Rob Roy,10.193549,6.5,151.0,1995-04-13,1995,Abril,Jueves,rob roy
The Addiction,3.137285,6.4,46.0,1995-01-10,1995,Enero,Martes,the addiction
Batman Forever,13.321354,5.2,1529.0,1995-06-16,1995,Junio,Viernes,batman forever
Belle de Jour,10.142662,7.3,163.0,1967-05-24,1967,Mayo,Miércoles,belle de jour
Beyond Rangoon,2.04189,6.4,21.0,1995-05-24,1995,Mayo,Miércoles,beyond rangoon
Blue in the Face,11.528147,6.8,28.0,1995-09-15,1995,Septiembre,Viernes,blue in the face
Canadian Bacon,5.391556,5.9,57.0,1995-06-08,1995,Junio,Jueves,canadian bacon
Casper,12.812539,6.0,1045.0,1995-05-26,1995,Mayo,Viernes,casper
Clockers,4.558992,6.8,69.0,1995-09-15,1995,Septiembre,Viernes,clockers
Congo,7.260574,5.0,214.0,1995-06-09,1995,Junio,Viernes,congo
Crimson Tide,8.657365,7.0,508.0,1995-05-12,1995,Mayo,Viernes,crimson tide
Crumb,3.620388,7.6,71.0,1994-09-10,1994,Septiembre,Sábado,crumb
Desperado,6.950458,6.8,898.0,1995-08-25,1995,Agosto,Viernes,desperado
Devil in a Blue Dress,4.646132,6.3,88.0,1995-09-15,1995,Septiembre,Viernes,devil in a blue dress
Die Hard: With a Vengeance,15.138855,6.9,2094.0,1995-05-19,1995,Mayo,Viernes,die hard: with a vengeance
The Doom Generation,7.120806,5.6,57.0,1995-10-27,1995,Octubre,Viernes,the doom generation
Feast of July,0.523575,0.0,0.0,1995-10-12,1995,Octubre,Jueves,feast of july
First Knight,15.178338,5.9,319.0,1995-07-07,1995,Julio,Viernes,first knight
Free Willy 2 - The Adventure Home,7.575098,5.5,130.0,1995-07-19,1995,Julio,Miércoles,free willy 2 - the adventure home
Hackers,14.810519,6.2,406.0,1995-09-14,1995,Septiembre,Jueves,hackers
Jeffrey,3.196456,6.5,19.0,1995-08-18,1995,Agosto,Viernes,jeffrey
Johnny Mnemonic,11.715868,5.5,380.0,1995-05-26,1995,Mayo,Viernes,johnny mnemonic
Judge Dredd,8.184815,5.4,643.0,1995-06-30,1995,Junio,Viernes,judge dredd
Jury Duty,3.676921,4.0,34.0,1995-04-12,1995,Abril,Miércoles,jury duty
Kids,4.877872,6.8,280.0,1995-07-28,1995,Julio,Viernes,kids
Living in Oblivion,10.058329,7.2,64.0,1995-01-20,1995,Enero,Viernes,living in oblivion
Lord of Illusions,4.102409,5.9,87.0,1995-08-25,1995,Agosto,Viernes,lord of illusions
Love & Human Remains,0.354014,7.0,7.0,1993-05-20,1993,Mayo,Jueves,love & human remains
Mad Love,2.624771,5.5,27.0,1995-05-26,1995,Mayo,Viernes,mad love
Mallrats,8.25547,6.8,400.0,1995-10-20,1995,Octubre,Viernes,mallrats
Mighty Morphin Power Rangers: The Movie,7.024227,5.2,153.0,1995-06-30,1995,Junio,Viernes,mighty morphin power rangers: the movie
Moonlight and Valentino,1.01115,5.6,10.0,1995-09-29,1995,Septiembre,Viernes,moonlight and valentino
Mute Witness,2.466066,6.4,36.0,1995-09-28,1995,Septiembre,Jueves,mute witness
Nadja,7.720056,5.9,12.0,1994-09-13,1994,Septiembre,Martes,nadja
The Net,13.304342,5.6,359.0,1995-07-28,1995,Julio,Viernes,the net
Nine Months,8.482834,5.5,171.0,1995-07-12,1995,Julio,Miércoles,nine months
Party Girl,1.165039,5.8,14.0,1995-06-09,1995,Junio,Viernes,party girl
The Prophecy,10.187623,6.4,139.0,1995-09-01,1995,Septiembre,Viernes,the prophecy
Reckless,0.119713,10.0,1.0,1995-11-17,1995,Noviembre,Viernes,reckless
Safe,8.180047,7.2,62.0,1995-06-23,1995,Junio,Viernes,safe
The Scarlet Letter,6.752119,5.5,111.0,1995-10-13,1995,Octubre,Viernes,the scarlet letter
The Show,0.159596,5.3,2.0,1995-08-25,1995,Agosto,Viernes,the show
Showgirls,17.502375,4.9,261.0,1995-09-22,1995,Septiembre,Viernes,showgirls
Smoke,5.552946,7.2,115.0,1995-06-09,1995,Junio,Viernes,smoke
Something to Talk About,3.743212,5.7,60.0,1995-08-04,1995,Agosto,Viernes,something to talk about
Species,13.492845,5.5,457.0,1995-07-07,1995,Julio,Viernes,species
The Stars Fell on Henrietta,0.913522,6.6,6.0,1995-09-15,1995,Septiembre,Viernes,the stars fell on henrietta
Strange Days,11.223055,6.8,334.0,1995-10-13,1995,Octubre,Viernes,strange days
The Umbrellas of Cherbourg,8.133881,7.6,119.0,1964-02-19,1964,Febrero,Miércoles,the umbrellas of cherbourg
The Tie That Binds,1.820419,4.6,9.0,1995-09-08,1995,Septiembre,Viernes,the tie that binds
Three Wishes,11.002046,6.1,18.0,1995-10-27,1995,Octubre,Viernes,three wishes
Total Eclipse,4.546552,6.5,112.0,1995-11-02,1995,Noviembre,Jueves,total eclipse
"To Wong Foo, Thanks for Everything! Julie Newmar",7.653446,6.3,117.0,1995-09-07,1995,Septiembre,Jueves,"to wong foo, thanks for everything! julie newmar"
Under Siege 2: Dark Territory,7.490247,5.6,217.0,1995-07-13,1995,Julio,Jueves,under siege 2: dark territory
Unstrung Heroes,2.881689,6.4,9.0,1995-09-15,1995,Septiembre,Viernes,unstrung heroes
Unzipped,0.786023,6.0,6.0,1995-08-11,1995,Agosto,Viernes,unzipped
A Walk in the Clouds,9.715639,6.5,168.0,1995-08-11,1995,Agosto,Viernes,a walk in the clouds
Waterworld,16.885184,5.9,1017.0,1995-07-28,1995,Julio,Viernes,waterworld
White Man's Burden,1.834099,5.1,25.0,1995-12-01,1995,Diciembre,Viernes,white man's burden
Wild Bill,8.922139,5.9,27.0,1995-12-01,1995,Diciembre,Viernes,wild bill
The Browning Version,3.727644,6.0,11.0,1994-10-12,1994,Octubre,Miércoles,the browning version
Bushwhacked,3.287036,4.9,29.0,1995-08-04,1995,Agosto,Viernes,bushwhacked
Burnt by the Sun,2.486073,6.7,35.0,1994-05-01,1994,Mayo,Domingo,burnt by the sun
Before the Rain,3.525649,7.7,45.0,1994-06-09,1994,Junio,Jueves,before the rain
Before Sunrise,11.304979,7.7,984.0,1995-01-27,1995,Enero,Viernes,before sunrise
Billy Madison,6.638116,6.2,464.0,1995-02-10,1995,Febrero,Viernes,billy madison
The Babysitter,2.761837,4.7,27.0,1995-10-17,1995,Octubre,Martes,the babysitter
Boys on the Side,3.030309,6.3,48.0,1995-02-03,1995,Febrero,Viernes,boys on the side
The Cure,2.686342,7.2,58.0,1995-04-21,1995,Abril,Viernes,the cure
Castle Freak,2.26977,5.8,40.0,1995-08-04,1995,Agosto,Viernes,castle freak
Circle of Friends,2.605521,6.5,30.0,1995-03-16,1995,Marzo,Jueves,circle of friends
Clerks,10.513367,7.4,769.0,1994-09-13,1994,Septiembre,Martes,clerks
Don Juan DeMarco,7.438934,6.3,184.0,1994-10-01,1994,Octubre,Sábado,don juan demarco
Disclosure,11.812244,5.9,217.0,1994-12-09,1994,Diciembre,Viernes,disclosure
Dream Man,0.155859,2.5,1.0,1995-01-01,1995,Enero,Domingo,dream man
Drop Zone,9.579155,5.1,91.0,1994-12-08,1994,Diciembre,Jueves,drop zone
Destiny Turns on the Radio,0.710671,5.3,9.0,1995-04-28,1995,Abril,Viernes,destiny turns on the radio
Death and the Maiden,5.484156,7.1,92.0,1994-05-04,1994,Mayo,Miércoles,death and the maiden
Dolores Claiborne,5.8025,7.1,183.0,1995-03-24,1995,Marzo,Viernes,dolores claiborne
Dumb and Dumber,9.844558,6.5,1894.0,1994-12-16,1994,Diciembre,Viernes,dumb and dumber
Eat Drink Man Woman,4.860016,7.5,76.0,1994-08-03,1994,Agosto,Miércoles,eat drink man woman
Exotica,5.378467,6.5,64.0,1994-09-24,1994,Septiembre,Sábado,exotica
Exit to Eden,4.322726,4.3,28.0,1994-10-14,1994,Octubre,Viernes,exit to eden
Ed Wood,11.720358,7.3,639.0,1994-09-27,1994,Septiembre,Martes,ed wood
French Kiss,9.146544,6.2,179.0,1995-05-05,1995,Mayo,Viernes,french kiss
Forget Paris,16.236745,6.1,38.0,1995-05-19,1995,Mayo,Viernes,forget paris
Far from Home: The Adventures of Yellow Dog,2.657337,5.6,27.0,1995-01-13,1995,Enero,Viernes,far from home: the adventures of yellow dog
A Goofy Movie,10.177977,6.7,404.0,1995-04-07,1995,Abril,Viernes,a goofy movie
Hideaway,8.182165,5.0,24.0,1995-03-03,1995,Marzo,Viernes,hideaway
Fluke,4.953936,6.6,48.0,1995-06-02,1995,Junio,Viernes,fluke
Farinelli,8.935058,5.9,20.0,1994-12-07,1994,Diciembre,Miércoles,farinelli
Gordy,0.398924,3.0,4.0,1995-05-12,1995,Mayo,Viernes,gordy
Gumby: The Movie,0.090452,5.0,2.0,1995-12-01,1995,Diciembre,Viernes,gumby: the movie
The Glass Shield,1.012197,5.4,9.0,1994-09-16,1994,Septiembre,Viernes,the glass shield
Hoop Dreams,9.47666,7.7,91.0,1994-09-12,1994,Septiembre,Lunes,hoop dreams
Heavenly Creatures,9.438042,6.9,299.0,1994-09-02,1994,Septiembre,Viernes,heavenly creatures
Houseguest,2.688562,6.0,17.0,1995-01-06,1995,Enero,Viernes,houseguest
Immortal Beloved,7.983666,6.9,90.0,1994-12-16,1994,Diciembre,Viernes,immortal beloved
Heavyweights,9.546707,6.0,97.0,1995-02-17,1995,Febrero,Viernes,heavyweights
The Hunted,2.756986,6.0,25.0,1995-02-24,1995,Febrero,Viernes,the hunted
I.Q.,5.146352,5.9,112.0,1994-12-24,1994,Diciembre,Sábado,i.q.
Interview with the Vampire,11.970205,7.2,1558.0,1994-11-11,1994,Noviembre,Viernes,interview with the vampire
Jefferson in Paris,1.596058,5.2,10.0,1995-03-31,1995,Marzo,Viernes,jefferson in paris
The Jerky Boys,0.748846,4.8,10.0,1995-02-03,1995,Febrero,Viernes,the jerky boys
Junior,6.710215,4.7,381.0,1994-11-22,1994,Noviembre,Martes,junior
Just Cause,9.195256,6.0,124.0,1995-02-17,1995,Febrero,Viernes,just cause
A Kid in King Arthur's Court,5.874511,4.3,40.0,1995-08-11,1995,Agosto,Viernes,a kid in king arthur's court
Kiss of Death,7.797512,5.7,83.0,1995-04-21,1995,Abril,Viernes,kiss of death
Star Wars,42.149697,8.1,6778.0,1977-05-25,1977,Mayo,Miércoles,star wars
Little Women,9.774994,7.0,222.0,1994-12-21,1994,Diciembre,Miércoles,little women
A Little Princess,7.731725,7.4,207.0,1995-05-10,1995,Mayo,Miércoles,a little princess
Ladybird Ladybird,0.84508,7.4,14.0,1994-02-18,1994,Febrero,Viernes,ladybird ladybird
L'Enfer,1.948315,6.6,22.0,1994-02-16,1994,Febrero,Miércoles,l'enfer
Like Water for Chocolate,4.126083,6.6,70.0,1992-04-16,1992,Abril,Jueves,like water for chocolate
Legends of the Fall,12.199047,7.2,636.0,1994-12-16,1994,Diciembre,Viernes,legends of the fall
Major Payne,9.253362,6.1,164.0,1995-03-24,1995,Marzo,Viernes,major payne
Little Odessa,1.861292,6.4,31.0,1994-10-27,1994,Octubre,Jueves,little odessa
Mi Vida Loca,1.788829,5.7,9.0,1994-06-08,1994,Junio,Miércoles,mi vida loca
Love Affair,3.290192,4.3,11.0,1994-10-21,1994,Octubre,Viernes,love affair
Losing Isaiah,7.698526,6.4,28.0,1995-03-17,1995,Marzo,Viernes,losing isaiah
The Madness of King George,4.81307,6.7,67.0,1994-12-28,1994,Diciembre,Miércoles,the madness of king george
Mary Shelley's Frankenstein,14.287753,6.1,272.0,1994-11-04,1994,Noviembre,Viernes,mary shelley's frankenstein
Man of the House,2.558118,5.1,40.0,1995-03-03,1995,Marzo,Viernes,man of the house
Mixed Nuts,2.899608,5.2,37.0,1994-12-21,1994,Diciembre,Miércoles,mixed nuts
Milk Money,3.770115,5.6,49.0,1994-08-31,1994,Agosto,Miércoles,milk money
Miracle on 34th Street,5.831622,6.4,199.0,1994-11-18,1994,Noviembre,Viernes,miracle on 34th street
Miami Rhapsody,1.137266,5.6,7.0,1995-01-27,1995,Enero,Viernes,miami rhapsody
My Family,3.121288,7.0,11.0,1995-05-03,1995,Mayo,Miércoles,my family
Murder in the First,9.518564,6.9,140.0,1995-01-20,1995,Enero,Viernes,murder in the first
Nobody's Fool,2.891269,7.0,56.0,1994-12-23,1994,Diciembre,Viernes,nobody's fool
Nell,5.930957,6.1,128.0,1994-12-23,1994,Diciembre,Viernes,nell
New Jersey Drive,0.629955,6.9,7.0,1995-04-19,1995,Abril,Miércoles,new jersey drive
New York Cop,0.004537,0.0,0.0,1993-08-14,1993,Agosto,Sábado,new york cop
Beyond Bedlam,0.426952,4.0,4.0,1994-04-22,1994,Abril,Viernes,beyond bedlam
Nemesis 2 - Nebula,1.466491,4.6,10.0,1995-09-26,1995,Septiembre,Martes,nemesis 2 - nebula
Nina Takes a Lover,0.769522,7.4,4.0,1995-03-03,1995,Marzo,Viernes,nina takes a lover
Natural Born Killers,11.226856,6.9,927.0,1994-08-25,1994,Agosto,Jueves,natural born killers
Only You,4.936761,6.4,92.0,1994-09-17,1994,Septiembre,Sábado,only you
Once Were Warriors,4.025276,7.6,106.0,1994-09-02,1994,Septiembre,Viernes,once were warriors
Poison Ivy II: Lily,6.448039,4.6,32.0,1996-01-16,1996,Enero,Martes,poison ivy ii: lily
Outbreak,13.676444,6.4,522.0,1995-03-10,1995,Marzo,Viernes,outbreak
