id,title,release_date,revenue,budget,return
13685,Bottle Rocket,1996-02-21,560069.0,7000000.0,0.08000985714285715
9614,Happy Gilmore,1996-02-16,41205099.0,12000000.0,3.43375825
688,The Bridges of Madison County,1995-05-28,182016617.0,24000000.0,7.584025708333333
197,Braveheart,1995-05-24,210000000.0,72000000.0,2.9166666666666665
103,Taxi Driver,1976-02-07,28262574.0,1300000.0,21.74044153846154
33542,Rumble in the Bronx,1995-01-30,32392047.0,7500000.0,4.3189396
78406,Steal Big Steal Little,1995-09-29,6278139.0,25000000.0,0.25112556
11066,Boomerang,1992-06-30,70100000.0,40000000.0,1.7525
2074,Flirting with Disaster,1996-03-22,14702438.0,7000000.0,2.100348285714286
11863,Jade,1995-10-13,9851610.0,50000000.0,0.1970322
11000,The Birdcage,1996-03-08,185260553.0,31000000.0,5.976146870967742
9737,Bad Boys,1995-04-07,141407024.0,19000000.0,7.442474947368421
22279,An Awfully Big Adventure,1995-07-21,851545.0,4000000.0,0.21288625
568,Apollo 13,1995-06-30,355237933.0,52000000.0,6.831498711538462
11780,Rob Roy,1995-04-13,31596911.0,28000000.0,1.1284611071428572
414,Batman Forever,1995-06-16,336529144.0,100000000.0,3.36529144
5894,Blue in the Face,1995-09-15,1275000.0,2000000.0,0.6375
1775,Canadian Bacon,1995-06-08,178104.0,11000000.0,0.016191272727272728
8839,Casper,1995-05-26,287928194.0,50000000.0,5.75856388
20649,Clockers,1995-09-15,13071518.0,25000000.0,0.52286072
10329,Congo,1995-06-09,152022101.0,50000000.0,3.04044202
8963,Crimson Tide,1995-05-12,157387195.0,53000000.0,2.969569716981132
8068,Desperado,1995-08-25,25405445.0,7000000.0,3.6293492857142855
8512,Devil in a Blue Dress,1995-09-15,16140822.0,27000000.0,0.5978082222222222
1572,Die Hard: With a Vengeance,1995-05-19,366101666.0,90000000.0,4.067796288888889
6520,First Knight,1995-07-07,127600435.0,55000000.0,2.320007909090909
10428,Hackers,1995-09-14,7563728.0,20000000.0,0.3781864
9886,Johnny Mnemonic,1995-05-26,19075720.0,25000000.0,0.7630288
9482,Judge Dredd,1995-06-30,113493481.0,90000000.0,1.2610386777777778
9344,Kids,1995-07-28,7412216.0,1500000.0,4.941477333333333
9071,Living in Oblivion,1995-01-20,1148752.0,500000.0,2.297504
2293,Mallrats,1995-10-20,2122561.0,6000000.0,0.35376016666666665
9070,Mighty Morphin Power Rangers: The Movie,1995-06-30,66000000.0,15000000.0,4.4
48787,Mute Witness,1995-09-28,1.0,2.0,0.5
1642,The Net,1995-07-28,110627965.0,22000000.0,5.028543863636363
36196,Party Girl,1995-06-09,472370.0,150000.0,3.1491333333333333
11980,The Prophecy,1995-09-01,16.0,8.0,2.0
10533,The Scarlet Letter,1995-10-13,10382407.0,50000000.0,0.20764814
10802,Showgirls,1995-09-22,20350754.0,45000000.0,0.4522389777777778
10149,Smoke,1995-06-09,8349430.0,7000000.0,1.1927757142857143
9348,Species,1995-07-07,113374103.0,35000000.0,3.2392600857142857
281,Strange Days,1995-10-13,7959291.0,42000000.0,0.18950692857142856
79593,The Tie That Binds,1995-09-08,5780000.0,14000000.0,0.41285714285714287
3512,Under Siege 2: Dark Territory,1995-07-13,104324083.0,60000000.0,1.7387347166666667
9560,A Walk in the Clouds,1995-08-11,50012507.0,20000000.0,2.50062535
9804,Waterworld,1995-07-28,264218220.0,175000000.0,1.5098184
50797,Burnt by the Sun,1994-05-01,2616503.0,2800000.0,0.9344653571428572
76,Before Sunrise,1995-01-27,5535405.0,2500000.0,2.214162
11017,Billy Madison,1995-02-10,26488734.0,10000000.0,2.6488734
9382,Boys on the Side,1995-02-03,23450000.0,21000000.0,1.1166666666666667
2292,Clerks,1994-09-13,3151130.0,27000.0,116.70851851851852
1909,Don Juan DeMarco,1994-10-01,22200000.0,25000000.0,0.888
8984,Disclosure,1994-12-09,214015089.0,55000000.0,3.891183436363636
8467,Dumb and Dumber,1994-12-16,247275374.0,16000000.0,15.454710875
522,Ed Wood,1994-09-27,5887457.0,18000000.0,0.32708094444444447
27303,Hideaway,1995-03-03,12201255.0,15000000.0,0.813417
14275,Hoop Dreams,1994-09-12,7830611.0,700000.0,11.186587142857142
1024,Heavenly Creatures,1994-09-02,3049135.0,5000000.0,0.609827
17207,Houseguest,1995-01-06,26325256.0,10500000.0,2.507167238095238
628,Interview with the Vampire,1994-11-11,223664608.0,60000000.0,3.7277434666666664
87729,Jefferson in Paris,1995-03-31,2474000.0,14000000.0,0.1767142857142857
6280,Junior,1994-11-22,37000000.0,60000000.0,0.6166666666666667
11,Star Wars,1977-05-25,775398007.0,11000000.0,70.49072790909091
18183,Like Water for Chocolate,1992-04-16,21665468.0,2000000.0,10.832734
4476,Legends of the Fall,1994-12-16,160638883.0,30000000.0,5.354629433333334
28313,Losing Isaiah,1995-03-17,7603766.0,17000000.0,0.44728035294117646
3036,Mary Shelley's Frankenstein,1994-11-04,112006296.0,45000000.0,2.4890288
17402,Miami Rhapsody,1995-01-27,5.0,6.0,0.8333333333333334
1945,Nell,1994-12-23,106683817.0,31000000.0,3.4414134516129034
241,Natural Born Killers,1994-08-25,50282766.0,34000000.0,1.4789048823529412
6950,Outbreak,1995-03-10,189859560.0,50000000.0,3.7971912
101,Leon: The Professional,1994-09-14,45284974.0,16000000.0,2.830310875
63020,The Perez Family,1995-05-12,2832826.0,11000000.0,0.25752963636363635
680,Pulp Fiction,1994-09-10,213928762.0,8000000.0,26.74109525
25296,Pushing Hands,1992-02-01,152322.0,400000.0,0.380805
12106,The Quick and the Dead,1995-02-09,18552460.0,32000000.0,0.579764375
161495,Roommates,1995-03-01,12400000.0,22000000.0,0.5636363636363636
3586,Prêt-à-Porter,1994-12-23,11300653.0,15000000.0,0.7533768666666667
22586,The Swan Princess,1994-11-18,9771658.0,35000000.0,0.27919022857142856
2636,The Specialist,1994-10-07,170362582.0,45000000.0,3.7858351555555556
2164,Stargate,1994-10-27,196567262.0,55000000.0,3.5739502181818184
11395,The Santa Clause,1994-11-10,189833357.0,22000000.0,8.628788954545454
278,The Shawshank Redemption,1994-09-23,28341469.0,25000000.0,1.13365876
9067,Tank Girl,1995-03-31,4064495.0,25000000.0,0.1625798
193,Star Trek: Generations,1994-11-17,120000000.0,38000000.0,3.1578947368421053
25066,Tales from the Hood,1995-05-24,12000000.0,6000000.0,2.0
1587,What's Eating Gilbert Grape,1993-12-17,10032765.0,11000000.0,0.9120695454545454
9271,Virtuosity,1995-08-04,24048000.0,30000000.0,0.8016
2064,While You Were Sleeping,1995-04-21,182057016.0,17000000.0,10.709236235294117
236,Muriel's Wedding,1994-09-29,15119639.0,3000000.0,5.039879666666667
3049,Ace Ventura: Pet Detective,1994-02-04,107217396.0,15000000.0,7.1478264
10497,Bitter Moon,1992-09-02,1862805.0,5000000.0,0.372561
9331,Clear and Present Danger,1994-08-03,215887717.0,62000000.0,3.482059951612903
10731,The Client,1994-07-20,117615211.0,45000000.0,2.6136713555555557
9495,The Crow,1994-05-11,94000000.0,15000000.0,6.266666666666667
888,The Flintstones,1994-05-26,341631208.0,46000000.0,7.426765391304348
13,Forrest Gump,1994-07-06,677945399.0,55000000.0,12.326279981818182
712,Four Weddings and a Funeral,1994-03-09,254700832.0,6000000.0,42.45013866666667
10879,I Love Trouble,1994-06-29,61947267.0,45000000.0,1.3766059333333334
8587,The Lion King,1994-06-23,788241776.0,45000000.0,17.516483911111113
1689,Little Buddha,1993-12-01,4858139.0,35000000.0,0.13880397142857143
11596,New Nightmare,1994-10-13,18090181.0,14000000.0,1.2921557857142858
854,The Mask,1994-07-29,351583407.0,23000000.0,15.286235086956522
36593,The Naked Gun 33⅓: The Final Insult,1994-03-18,51132598.0,30000000.0,1.7044199333333334
2788,Reality Bites,1994-02-18,20079850.0,11500000.0,1.7460739130434784
10427,Red Rock West,1993-07-08,2000000.0,8000000.0,0.25
1637,Speed,1994-06-09,350448145.0,30000000.0,11.681604833333333
8831,Timecop,1994-09-15,101646581.0,27000000.0,3.764688185185185
36955,True Lies,1994-07-14,378882411.0,115000000.0,3.2946296608695653
12160,Wyatt Earp,1994-06-24,25052000.0,63000000.0,0.39765079365079364
26352,A Low Down Dirty Shame,1994-11-23,29392418.0,10000000.0,2.9392418
22067,Jason's Lyric,1994-09-28,20851521.0,7000000.0,2.9787887142857143
11667,Street Fighter,1994-12-22,99423521.0,35000000.0,2.8406720285714284
8011,Highlander: The Final Dimension,1994-11-29,36800000.0,26000000.0,1.4153846153846155
2654,In the Mouth of Madness,1994-12-12,8946600.0,8000000.0,1.118325
10436,The Age of Innocence,1993-09-17,32255440.0,34000000.0,0.9486894117647059
46094,The Air Up There,1994-01-07,21011500.0,17080000.0,1.2301814988290398
306,Beverly Hills Cop III,1994-05-24,119208989.0,50000000.0,2.38417978
4722,Body Snatchers,1993-06-09,428868.0,13000000.0,0.032989846153846154
1607,A Bronx Tale,1993-09-14,17287898.0,22000000.0,0.7858135454545454
117553,Calendar Girl,1993-09-03,2570145.0,13000000.0,0.19770346153846155
6075,Carlito's Way,1993-11-10,36516012.0,30000000.0,1.2172004
9350,Cliffhanger,1993-05-28,255000211.0,70000000.0,3.642860157142857
2124,Color of Night,1994-08-19,19726050.0,40000000.0,0.49315125
9571,Dazed and Confused,1993-09-24,7993039.0,6900000.0,1.1584114492753623
9739,Demolition Man,1993-10-08,159055768.0,57000000.0,2.7904520701754385
9024,For Love or Money,1993-10-01,11146270.0,30000000.0,0.3715423333333333
37233,The Firm,1993-06-30,270248367.0,42000000.0,6.434484928571429
1634,Free Willy,1993-07-16,153698625.0,20000000.0,7.68493125
5503,The Fugitive,1993-08-06,368875760.0,44000000.0,8.38354
35588,Geronimo: An American Legend,1993-12-10,18635620.0,35000000.0,0.5324462857142858
2019,Hard Target,1993-08-20,74189677.0,18000000.0,4.121648722222222
9255,Hot Shots! Part Deux,1993-05-21,133752825.0,25000000.0,5.350113
9386,In the Line of Fire,1993-07-08,176997168.0,40000000.0,4.4249292
7984,In the Name of the Father,1993-12-12,65796862.0,13000000.0,5.0612970769230765
329,Jurassic Park,1993-06-11,920100000.0,63000000.0,14.604761904761904
10909,Kalifornia,1993-09-01,2395231.0,9000000.0,0.2661367777777778
507,Killing Zoe,1993-10-01,418961.0,1500000.0,0.27930733333333335
9593,Last Action Hero,1993-06-18,137298489.0,85000000.0,1.6152763411764706
10440,Manhattan Murder Mystery,1993-08-18,11285588.0,13500000.0,0.8359694814814815
9516,Menace II Society,1993-05-26,27900000.0,3500000.0,7.9714285714285715
2320,Executive Decision,1996-03-15,121969216.0,55000000.0,2.217622109090909
788,Mrs. Doubtfire,1993-11-24,441286195.0,25000000.0,17.6514478
11231,The Next Karate Kid,1994-07-18,15826984.0,12000000.0,1.3189153333333334
10447,No Escape,1994-04-29,15340000.0,20000000.0,0.767
9559,A Perfect World,1993-11-24,135130999.0,30000000.0,4.504366633333333
9800,Philadelphia,1993-12-22,206678440.0,26000000.0,7.949170769230769
713,The Piano,1993-05-19,116700000.0,7000000.0,16.67142857142857
8291,Poetic Justice,1993-07-23,27515786.0,14000000.0,1.9654132857142856
10872,The Ref,1994-03-09,11439193.0,11000000.0,1.0399266363636364
1245,The Remains of the Day,1993-11-05,23237911.0,11500000.0,2.0206879130434783
11858,Renaissance Man,1994-06-03,24332324.0,40000000.0,0.6083081
5550,RoboCop 3,1993-04-17,10696210.0,22000000.0,0.4861913636363636
8005,Robin Hood: Men in Tights,1993-07-28,35739755.0,20000000.0,1.78698775
2088,Romeo Is Bleeding,1993-09-13,3275585.0,11500000.0,0.2848334782608696
47889,Ruby in Paradise,1993-10-08,1001437.0,800000.0,1.25179625
14534,Rudy,1993-09-17,22750363.0,12000000.0,1.8958635833333333
424,Schindler's List,1993-11-29,321365567.0,22000000.0,14.607525772727273
11592,Serial Mom,1994-04-13,7820688.0,13000000.0,0.6015913846153846
8850,The Shadow,1994-07-01,48063435.0,25000000.0,1.9225374
858,Sleepless in Seattle,1993-06-24,227799884.0,21000000.0,10.847613523809525
867,Sliver,1993-05-21,116300000.0,40000000.0,2.9075
78,Blade Runner,1982-06-25,33139618.0,28000000.0,1.1835577857142856
10442,So I Married an Axe Murderer,1993-07-30,11585483.0,20000000.0,0.57927415
9607,Super Mario Bros.,1993-05-28,20915465.0,48000000.0,0.4357388541666667
17585,Surviving the Game,1994-04-15,7690013.0,7400000.0,1.0391909459459459
9057,Terminal Velocity,1994-09-23,16478900.0,50000000.0,0.329578
9479,The Nightmare Before Christmas,1993-10-09,75634409.0,18000000.0,4.201911611111111
10057,The Three Musketeers,1993-11-11,53898845.0,30000000.0,1.7966281666666666
11969,Tombstone,1993-12-25,56505065.0,25000000.0,2.2602026
319,True Romance,1993-09-09,12281551.0,12500000.0,0.98252408
15139,The Pagemaster,1994-11-23,13670688.0,27000000.0,0.5063217777777778
771,Home Alone,1990-11-09,476684675.0,18000000.0,26.482481944444444
251,Ghost,1990-07-12,505000000.0,22000000.0,22.954545454545453
812,Aladdin,1992-11-25,504050219.0,28000000.0,18.001793535714285
280,Terminator 2: Judgment Day,1991-07-01,520000000.0,100000000.0,5.2
581,Dances with Wolves,1990-11-09,424208848.0,22000000.0,19.282220363636362
268,Batman,1989-06-23,411348924.0,35000000.0,11.7528264
274,The Silence of the Lambs,1991-02-01,272742922.0,19000000.0,14.354890631578947
408,Snow White and the Seven Dwarfs,1937-12-20,184925486.0,1488423.0,124.24256142239135
10020,Beauty and the Beast,1991-11-13,377350553.0,25000000.0,15.09402212
10895,Pinocchio,1940-02-23,84300000.0,2600000.0,32.42307692307692
114,Pretty Woman,1990-03-23,463000000.0,14000000.0,33.07142857142857
576,The Wild Bunch,1969-06-17,638641.0,6244087.0,0.10227932442325034
275,Fargo,1996-04-05,60611975.0,7000000.0,8.65885357142857
8766,Hellraiser: Bloodline,1996-03-08,16675000.0,4000000.0,4.16875
10112,The Aristocats,1970-12-23,55675257.0,4000000.0,13.91881425
1592,Primal Fear,1996-04-03,102616183.0,30000000.0,3.4205394333333334
61752,Girl 6,1996-03-22,4939939.0,12000000.0,0.41166158333333336
10684,Courage Under Fire,1996-07-04,100860818.0,46000000.0,2.1926264782608698
954,Mission: Impossible,1996-05-22,457696359.0,80000000.0,5.7212044875
8840,DragonHeart,1996-05-31,115267375.0,57000000.0,2.022234649122807
10539,James and the Giant Peach,1996-04-12,28921264.0,38000000.0,0.7610858947368421
47502,Faithful,1996-04-03,9789900.0,13000000.0,0.7530692307692308
2300,Space Jam,1996-11-15,250200000.0,80000000.0,3.1275
8069,Barbarella,1968-10-10,2500000.0,9000000.0,0.2777777777777778
40001,Mrs. Winterbourne,1996-04-19,10070000.0,25000000.0,0.4028
9103,The Quest,1996-04-19,57400547.0,30000000.0,1.9133515666666667
12233,Oliver & Company,1988-11-18,74151346.0,31000000.0,2.3919789032258065
36355,Flipper,1996-05-17,20080020.0,25530000.0,0.7865264394829612
11876,The Horseman on the Roof,1995-09-20,15000000.0,35000000.0,0.42857142857142855
9100,The Craft,1996-05-03,24769466.0,15000000.0,1.6512977333333334
40507,Original Gangstas,1996-05-10,3014000.0,4800000.0,0.6279166666666667
9802,The Rock,1996-06-06,335062621.0,75000000.0,4.467501613333333
664,Twister,1996-05-10,494471524.0,92000000.0,5.374690478260869
10547,The Arrival,1996-05-31,14048372.0,25000000.0,0.56193488
935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964-01-29,9440272.0,1800000.0,5.244595555555556
9826,The Phantom,1996-06-06,17300889.0,45000000.0,0.3844642
9879,Striptease,1996-06-28,113309743.0,50000000.0,2.26619486
7095,Jack,1996-08-09,58620973.0,45000000.0,1.3026882888888889
627,Trainspotting,1996-02-23,16491080.0,4000000.0,4.12277
602,Independence Day,1996-06-25,816969268.0,75000000.0,10.892923573333332
9566,The Fan,1996-08-15,18626419.0,55000000.0,0.33866216363636364
10545,The Hunchback of Notre Dame,1996-06-21,100138851.0,100000000.0,1.00138851
9894,The Cable Guy,1996-06-10,102825796.0,47000000.0,2.187782893617021
11543,Kingpin,1996-07-04,25023434.0,27000000.0,0.9267938518518518
9268,Eraser,1996-06-21,242295562.0,100000000.0,2.42295562
9327,The Nutty Professor,1996-06-26,128769345.0,54000000.0,2.3846175
11228,Daylight,1996-12-06,159212469.0,80000000.0,1.9901558625
10779,The Frighteners,1996-07-18,29359216.0,30000000.0,0.9786405333333333
26748,Lone Star,1996-06-21,13269963.0,5000000.0,2.6539926
9294,Phenomenon,1996-07-05,152036382.0,32000000.0,4.7511369375
11363,She's the One,1996-08-26,9482579.0,3500000.0,2.7093082857142856
1645,A Time to Kill,1996-07-24,152266007.0,40000000.0,3.806650175
18550,Fled,1996-07-19,17193231.0,25000000.0,0.68772924
11962,Joe's Apartment,1996-07-26,4619014.0,13000000.0,0.3553087692307692
2925,The First Wives Club,1996-09-20,116400000.0,26000000.0,4.476923076923077
3595,Ransom,1996-11-08,309492681.0,80000000.0,3.8686585125
12123,Chain Reaction,1996-08-02,60209334.0,50000000.0,1.20418668
10830,Matilda,1996-08-02,33459416.0,36000000.0,0.9294282222222222
3573,Emma,1996-08-02,22231658.0,6000000.0,3.7052763333333334
10546,The Crow: City of Angels,1996-08-29,17917287.0,13000000.0,1.3782528461538461
9431,Bordello of Blood,1996-08-16,5600000.0,15000000.0,0.37333333333333335
47907,The Spitfire Grill,1996-08-23,12643776.0,6000000.0,2.107296
10061,Escape from L.A.,1996-08-09,42277365.0,50000000.0,0.8455473
549,Basquiat,1996-08-09,3011195.0,2962051.0,1.016591206565991
10478,Tin Cup,1996-08-16,53854588.0,45000000.0,1.1967686222222222
66634,Dingo,1991-06-02,300000.0,200000.0,1.5
238,The Godfather,1972-03-14,245066411.0,6000000.0,40.844401833333336
11134,Police Story 3: Supercop,1992-07-04,20483423.0,900000.0,22.75935888888889
88224,Manny & Lo,1996-01-22,431326.0,500000.0,0.862652
9303,Bound,1996-09-13,7011317.0,4500000.0,1.5580704444444444
11015,The Relic,1997-01-10,33956608.0,60000000.0,0.5659434666666666
9306,The Island of Dr. Moreau,1996-08-23,49627779.0,40000000.0,1.240694475
10723,Bulletproof,1996-09-06,22611954.0,25000000.0,0.90447816
10987,Halloween: The Curse of Michael Myers,1995-09-29,15116634.0,5000000.0,3.0233268
872,Singin' in the Rain,1952-04-10,7200000.0,2540800.0,2.8337531486146097
2769,An American in Paris,1951-08-08,4500000.0,2723903.0,1.6520412070473875
164,Breakfast at Tiffany's,1961-10-05,9500000.0,2500000.0,3.8
426,Vertigo,1958-05-09,28000000.0,2479000.0,11.294876966518757
567,Rear Window,1954-08-01,36764313.0,1000000.0,36.764313
3078,It Happened One Night,1934-02-22,4500000.0,325000.0,13.846153846153847
213,North by Northwest,1959-07-07,13275000.0,4000000.0,3.31875
284,The Apartment,1960-06-15,25000000.0,3000000.0,8.333333333333334
239,Some Like It Hot,1959-03-18,25000000.0,2883848.0,8.668972844615944
4808,Charade,1963-12-05,13474588.0,4000000.0,3.368647
289,Casablanca,1942-11-26,10462500.0,878000.0,11.916287015945331
963,The Maltese Falcon,1941-11-18,1000000.0,375000.0,2.6666666666666665
11113,My Fair Lady,1964-10-21,72070731.0,17000000.0,4.239454764705882
6620,Sabrina,1954-09-28,10000000.0,2238813.0,4.466652641377372
804,Roman Holiday,1953-09-02,12000000.0,1500000.0,8.0
630,The Wizard of Oz,1939-08-15,33754967.0,2777000.0,12.15519157364062
770,Gone with the Wind,1939-12-15,400176459.0,4000000.0,100.04411475
599,Sunset Boulevard,1950-08-10,5000000.0,1752000.0,2.853881278538813
15,Citizen Kane,1941-04-30,23217674.0,839727.0,27.649074044302495
62,2001: A Space Odyssey,1968-04-10,68700000.0,10500000.0,6.542857142857143
705,All About Eve,1950-11-09,63463.0,1400000.0,0.04533071428571429
22490,The Women,1939-01-01,2270000.0,1688000.0,1.34478672985782
223,Rebecca,1940-04-12,6000000.0,1288000.0,4.658385093167702
303,Notorious,1946-08-15,24464742.0,2000000.0,12.232371
4174,Spellbound,1945-12-28,7000000.0,1500000.0,4.666666666666667
381,To Catch a Thief,1955-08-03,8750000.0,2500000.0,3.5
1859,Ninotchka,1939-10-06,2279000.0,1365000.0,1.6695970695970697
10907,The Adventures of Robin Hood,1938-05-13,3981000.0,2033000.0,1.958189867191343
1939,Laura,1944-10-11,2000000.0,1020000.0,1.9607843137254901
3080,Top Hat,1935-09-06,3202000.0,609000.0,5.257799671592775
1712,Giant,1956-10-10,35000000.0,5400000.0,6.481481481481482
220,East of Eden,1955-03-09,5.0,1.0,5.0
3529,The Thin Man,1934-05-25,1423000.0,226408.0,6.285113600226141
2897,Around the World in Eighty Days,1956-10-17,42000000.0,6000000.0,7.0
1585,It's a Wonderful Life,1946-12-20,9644124.0,3180000.0,3.032743396226415
3083,Mr. Smith Goes to Washington,1939-10-19,9600000.0,1500000.0,6.4
10331,Night of the Living Dead,1968-10-01,30000000.0,114000.0,263.1578947368421
488,The African Queen,1951-12-03,10750000.0,1300000.0,8.26923076923077
261,Cat on a Hot Tin Roof,1958-02-17,17570324.0,3000000.0,5.8567746666666665
10861,Maximum Risk,1996-09-13,51702483.0,25000000.0,2.06809932
1770,Michael Collins,1996-10-25,16900000.0,28000000.0,0.6035714285714285
9333,Last Man Standing,1996-09-20,47267001.0,67000000.0,0.7054776268656716
9400,Set It Off,1996-11-06,41590886.0,9000000.0,4.621209555555556
12241,Curdled,1996-09-06,49620.0,2300000.0,0.02157391304347826
11306,Extreme Measures,1996-09-27,17380126.0,38000000.0,0.45737173684210525
6346,The Chamber,1996-10-11,22540359.0,50000000.0,0.45080718
173,"20,000 Leagues Under the Sea",1954-12-23,28200000.0,5000000.0,5.64
864,Cool Runnings,1993-09-30,154864401.0,14000000.0,11.061742928571428
11224,Cinderella,1950-03-04,263591415.0,2900000.0,90.89359137931035
9078,The Sword in the Stone,1963-12-25,22182353.0,3000000.0,7.394117666666666
8367,Robin Hood: Prince of Thieves,1991-06-14,390493908.0,48000000.0,8.13528975
433,Mary Poppins,1964-08-27,102272727.0,6000000.0,17.0454545
11360,Dumbo,1941-10-22,1600000.0,812000.0,1.9704433497536946
12335,Bedknobs and Broomsticks,1971-10-07,17900000.0,20000000.0,0.895
12092,Alice in Wonderland,1951-07-03,572000000.0,3000000.0,190.66666666666666
10948,The Fox and the Hound,1981-07-10,29800000.0,12000000.0,2.4833333333333334
15121,The Sound of Music,1965-03-02,286214286.0,8200000.0,34.904181219512196
562,Die Hard,1988-07-15,140767956.0,28000000.0,5.027427
10163,The Lawnmower Man,1992-03-05,32101000.0,10000000.0,3.2101
11159,Secrets & Lies,1996-05-24,13417292.0,4500000.0,2.9816204444444443
41843,Surviving Picasso,1996-09-04,1985001.0,16000000.0,0.1240625625
11412,The Long Kiss Goodnight,1996-10-11,89456761.0,65000000.0,1.3762578615384615
10586,The Ghost and the Darkness,1996-10-11,75000000.0,50000000.0,1.5
49471,Get on the Bus,1996-10-16,5731103.0,2400000.0,2.387959583333333
38153,Shadow Conspiracy,1997-01-31,2154540.0,45000000.0,0.04787866666666667
25147,Jude,1996-02-06,405000.0,7000000.0,0.05785714285714286
454,Romeo + Juliet,1996-10-31,147298761.0,14500000.0,10.15853524137931
10218,Swingers,1996-10-18,4505922.0,200000.0,22.52961
819,Sleepers,1996-10-18,165615285.0,44000000.0,3.76398375
252,Willy Wonka & the Chocolate Factory,1971-06-29,4000000.0,3000000.0,1.3333333333333333
11561,Sleeper,1973-12-17,18344729.0,2000000.0,9.1723645
11302,Bananas,1971-04-28,11833696.0,2000000.0,5.916848
623,A Fish Called Wanda,1988-07-15,62493712.0,7500000.0,8.332494933333333
583,Life of Brian,1979-08-17,20045115.0,4000000.0,5.01127875
11575,The Great Race,1965-07-01,25333333.0,12000000.0,2.1111110833333333
475,Bonnie and Clyde,1967-07-18,50700000.0,2500000.0,20.28
521,Dial M for Murder,1954-05-29,3000000.0,1400000.0,2.142857142857143
88,Dirty Dancing,1987-08-21,213954274.0,6000000.0,35.659045666666664
500,Reservoir Dogs,1992-09-02,14661007.0,1200000.0,12.217505833333334
792,Platoon,1986-12-18,138530565.0,6000000.0,23.0884275
8491,Weekend at Bernie's,1989-07-05,30218387.0,6500000.0,4.648982615384615
402,Basic Instinct,1992-03-20,352927224.0,49000000.0,7.202596408163266
10537,The Doors,1991-03-01,34416893.0,38000000.0,0.9057077105263158
11386,The Crying Game,1992-09-02,62548947.0,3705538.0,16.879855772630048
9504,Glengarry Glen Ross,1992-09-15,10725228.0,12500000.0,0.85801824
15764,Sophie's Choice,1982-12-08,30036000.0,12000000.0,2.503
601,E.T. the Extra-Terrestrial,1982-04-03,792965326.0,10500000.0,75.52050723809523
2119,Days of Thunder,1990-06-27,157920733.0,60000000.0,2.632012216666667
744,Top Gun,1986-05-16,356830601.0,15000000.0,23.788706733333335
